"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"alpha-correction-designs","15 items/set, ratio 1.4, N=500","log alpha[set2] bias/coverage",100,100,0,NA,NA,0.00524011850603789,0.025464520549478,0.028513643794852,0.893064412696197,0.98,0.014,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17","raw construction at this length runs -0.036 in the log ratio (scratch harness); corrected expected ~0"
"alpha-correction-designs","3 sets, pairwise person overlap, ratio 1.0","log alpha[set3/set1] null",150,150,0,NA,NA,-0.0149302138199588,0.127255507625366,NA,NA,NA,NA,0.0266666666666667,0.01315435429951,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17","each person takes 2 of 3 sets; every linking edge rests on a distinct third of the sample"
"alpha-correction-designs","3 sets, pairwise person overlap, ratio 1.4","log alpha[set3/set1] bias/power",100,100,0,NA,NA,-0.00227471197889734,0.130062492791754,NA,NA,NA,NA,NA,NA,NA,NA,0.58,0.0493558507170123,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17","each person takes 2 of 3 sets; every linking edge rests on a distinct third of the sample"
"alpha-correction-designs","booklet forms (5-6 of 8 items), ratio 1.0","log alpha[set2] null",150,150,0,NA,NA,-0.00106998781505921,0.077391081915431,0.0844345112061505,0.91658115632928,0.966666666666667,0.0146565621758588,0.0333333333333333,0.0146565621758588,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17","three rotated forms per set; per-pattern correction moments exercised"
"alpha-correction-designs","booklet forms (5-6 of 8 items), ratio 1.4","log alpha[set2] bias/power",100,100,0,NA,NA,0.0152095684319879,0.072641570842924,0.0889335226667417,0.81680752841796,0.99,0.0099498743710662,NA,NA,NA,NA,0.51,0.0499899989998,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17","three rotated forms per set; per-pattern correction moments exercised"
"alpha-correction-designs","ratio sweep 1.00, 8 items/set, N=500","log alpha[set2] bias/coverage",80,80,0,NA,1,-0.00874184361651453,0.0516487607860248,0.0508449364139304,1.01580932987211,0.95,0.0243669858620224,0.05,0.0243669858620224,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17",""
"alpha-correction-designs","ratio sweep 1.15, 8 items/set, N=500","log alpha[set2] bias/coverage",80,80,0,NA,1.15,-0.00118578647745303,0.0536478639628243,0.051921703100065,1.03324545921448,0.925,0.0294480474734744,NA,NA,NA,NA,0.2625,0.049192701440356,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17",""
"alpha-correction-designs","ratio sweep 1.30, 8 items/set, N=500","log alpha[set2] bias/coverage",80,80,0,NA,1.3,-0.00331393330491533,0.0481357255677852,0.0526600134860439,0.914084945696838,0.9625,0.021240806834958,NA,NA,NA,NA,0.725,0.0499218138692896,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17",""
"alpha-correction-designs","ratio sweep 1.50, 8 items/set, N=500","log alpha[set2] bias/coverage",80,80,0,NA,1.5,0.00962170243288579,0.063344228198942,0.05357548872546,1.18233598434427,0.925,0.0294480474734744,NA,NA,NA,NA,0.975,0.0174553000547112,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17",""
"alpha-correction-designs","ratio sweep 1.70, 8 items/set, N=500","log alpha[set2] bias/coverage",80,80,0,NA,1.7,0.0145910228054583,0.050128476614104,0.056008122060325,0.895021557054026,0.975,0.0174553000547112,NA,NA,NA,NA,1,0,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17",""
"alpha-correction-designs","ratio sweep 2.00, 8 items/set, N=500","log alpha[set2] bias/coverage",80,80,0,NA,2,0.0122894880327715,0.0608756807412516,0.0591423900703321,1.02930707854144,0.975,0.0174553000547112,NA,NA,NA,NA,1,0,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17",""
"alpha-correction-designs","polytomous (4 categories), ratio 1.0, 8 items/set, N=500","log alpha[set2] null",150,150,0,NA,NA,-0.00189990842529185,0.02582504117643,0.0263321273646672,0.980742680558441,0.966666666666667,0.0146565621758588,0.0333333333333333,0.0146565621758588,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17",""
"alpha-correction-designs","polytomous (4 categories), ratio 1.4, 8 items/set, N=500","log alpha[set2] bias/power",100,100,0,NA,NA,0.00206287708995476,0.0254822359744889,0.0266315073269357,0.956845426045998,0.93,0.0255147016443461,NA,NA,NA,NA,1,0,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17",""
"alpha-correction-designs","skewed persons chi-sq(30) (skew 0.52), ratio 1.4, N=1000","log unit ratio: corrected vs TAM anchor",40,40,0,NA,0.516397779494322,0.00819028873157068,0.0655370064066748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17","TAM normal-population anchor bias +0.0054 (sd 0.0421) on the same data; raw pre-correction construction ran +0.084 at skew 1.63"
"alpha-correction-designs","skewed persons chi-sq(8) (skew 1.00), ratio 1.4, N=1000","log unit ratio: corrected vs TAM anchor",40,40,0,NA,1,0.0103953679698762,0.0666479631230548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17","TAM normal-population anchor bias -0.0049 (sd 0.0431) on the same data; raw pre-correction construction ran +0.084 at skew 1.63"
"alpha-correction-designs","skewed persons chi-sq(3) (skew 1.63), ratio 1.4, N=1000","log unit ratio: corrected vs TAM anchor",40,40,0,NA,1.63299316185545,0.013504310207986,0.0862455180352488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17","TAM normal-population anchor bias -0.0125 (sd 0.0506) on the same data; raw pre-correction construction ran +0.084 at skew 1.63"
"alpha-correction-designs","skewed persons chi-sq(1) (skew 2.83), ratio 1.4, N=1000","log unit ratio: corrected vs TAM anchor",40,40,0,NA,2.82842712474619,0.00814712988738553,0.0918650393658459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-correction-designs.R","b7277d977b5b58485cc3db9a4ab06b6c","0352371+dirty","4038fc3a47b6","2026-08-17","TAM normal-population anchor bias -0.0264 (sd 0.0506) on the same data; raw pre-correction construction ran +0.084 at skew 1.63"
