"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"alpha-n-sweep","N = 250, 8 items/set, ratio 1.4, boot_reps 300","log alpha[set2] bias / SE calibration / coverage",60,60,0,NA,250,-8.41129678022523e-05,0.074474598882756,0.0756785795828593,0.984090865516508,0.95,0.0281365716935569,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-n-sweep.R","ea6fa4d9866922bdabd0c23829da7e0c","6e1c473","44d2bce6e988","2026-08-17",""
"alpha-n-sweep","N = 500, 8 items/set, ratio 1.4, boot_reps 300","log alpha[set2] bias / SE calibration / coverage",60,60,0,NA,500,0.0109329656134759,0.0539734678683622,0.0527091953256705,1.02398580617443,0.933333333333333,0.0322030594359765,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-n-sweep.R","ea6fa4d9866922bdabd0c23829da7e0c","6e1c473","44d2bce6e988","2026-08-17",""
"alpha-n-sweep","N = 1000, 8 items/set, ratio 1.4, boot_reps 300","log alpha[set2] bias / SE calibration / coverage",60,60,0,NA,1000,0.00975240822852064,0.0412361284356041,0.0375351417424422,1.09860057858732,0.9,0.0387298334620742,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-n-sweep.R","ea6fa4d9866922bdabd0c23829da7e0c","6e1c473","44d2bce6e988","2026-08-17",""
"alpha-n-sweep","N = 2500, 8 items/set, ratio 1.4, boot_reps 300","log alpha[set2] bias / SE calibration / coverage",60,60,0,NA,2500,0.00490662312922824,0.0190915687237035,0.0234069122820996,0.815638068516358,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-n-sweep.R","ea6fa4d9866922bdabd0c23829da7e0c","6e1c473","44d2bce6e988","2026-08-17",""
"alpha-n-sweep","N = 3000, 8 items/set, ratio 1.4, boot_reps 300","log alpha[set2] bias / SE calibration / coverage",100,100,0,NA,3000,0.00135689565125183,0.0211379693454249,0.0214217008483873,0.986754949806712,0.96,0.0195959179422654,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-n-sweep.R","ea6fa4d9866922bdabd0c23829da7e0c","6e1c473","44d2bce6e988","2026-08-17",""
"alpha-n-sweep","N = 3500, 8 items/set, ratio 1.4, boot_reps 300","log alpha[set2] bias / SE calibration / coverage",100,100,0,NA,3500,0.00544314532219642,0.019355143772357,0.0198366882556121,0.975724552553833,0.96,0.0195959179422654,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-n-sweep.R","ea6fa4d9866922bdabd0c23829da7e0c","6e1c473","44d2bce6e988","2026-08-17",""
"alpha-n-sweep","N = 4000, 8 items/set, ratio 1.4, boot_reps 300","log alpha[set2] bias / SE calibration / coverage",100,100,0,NA,4000,0.00241665989891385,0.0168132781067749,0.0185406854681519,0.906831526571969,0.99,0.0099498743710662,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-n-sweep.R","ea6fa4d9866922bdabd0c23829da7e0c","6e1c473","44d2bce6e988","2026-08-17",""
"alpha-n-sweep","N = 4500, 8 items/set, ratio 1.4, boot_reps 300","log alpha[set2] bias / SE calibration / coverage",100,100,0,NA,4500,0.00384560250951269,0.0170255572111023,0.0175456669510472,0.9703567985534,0.96,0.0195959179422654,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-n-sweep.R","ea6fa4d9866922bdabd0c23829da7e0c","6e1c473","44d2bce6e988","2026-08-17",""
"alpha-n-sweep","N = 5000, 8 items/set, ratio 1.4, boot_reps 300","log alpha[set2] bias / SE calibration / coverage",60,60,0,NA,5000,0.00148257009700339,0.0151981890452163,0.0165356470053665,0.919116684111841,0.983333333333333,0.016527194200715,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-n-sweep.R","ea6fa4d9866922bdabd0c23829da7e0c","6e1c473","44d2bce6e988","2026-08-17",""
"alpha-n-sweep","N = 10000, 8 items/set, ratio 1.4, boot_reps 300","log alpha[set2] bias / SE calibration / coverage",60,60,0,NA,10000,0.00432420444534365,0.0134389173057162,0.011804794249836,1.13842876218727,0.866666666666667,0.0438853725736255,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/alpha-n-sweep.R","ea6fa4d9866922bdabd0c23829da7e0c","6e1c473","44d2bce6e988","2026-08-17",""
