"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"alpha-npml-coverage","normal persons; ratio 1.0; N=500; hybrid SE; 80 bootstrap replicates","log alpha[set2] bias, SE calibration, coverage and omnibus rejection",200,200,0,0,1,-0.00128511530416464,0.0336899373294685,0.0333205108595489,1.01108705900329,0.95,0.0154110350074224,0.05,0.0154110350074224,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-npml-coverage.R","5c74df8c33e5878d8bca5325e22d1266","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-npml-coverage","normal persons; ratio 1.0; N=500; hybrid SE; 80 bootstrap replicates","common-scale item location bias, SE calibration and coverage",200,200,0,0,-0.214285714285714,-0.0031696696867155,0.103923286364016,0.101231471904538,1.02659068774597,0.94,0.0167928556237467,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-npml-coverage.R","5c74df8c33e5878d8bca5325e22d1266","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-npml-coverage","normal persons; ratio 1.4; N=500; hybrid SE; 80 bootstrap replicates","log alpha[set2] bias, SE calibration, coverage and omnibus rejection",150,150,0,0,1.4,0.00324095256700926,0.0352564060773657,0.0334976726484105,1.05250315290303,0.926666666666667,0.0212846667119088,NA,NA,NA,NA,1,0,0,0,0,0,"tools/simval/studies/alpha-npml-coverage.R","5c74df8c33e5878d8bca5325e22d1266","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-npml-coverage","normal persons; ratio 1.4; N=500; hybrid SE; 80 bootstrap replicates","common-scale item location bias, SE calibration and coverage",150,150,0,0,-0.214285714285714,0.000402229282164507,0.0947445325905954,0.0907582640832617,1.04392182406306,0.926666666666667,0.0212846667119088,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-npml-coverage.R","5c74df8c33e5878d8bca5325e22d1266","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-npml-coverage","bimodal persons; ratio 1.0; N=500; hybrid SE; 80 bootstrap replicates","log alpha[set2] bias, SE calibration, coverage and omnibus rejection",200,200,0,0,1,0.000626484756779091,0.0207137048917146,0.021260536901324,0.974279482585625,0.96,0.013856406460551,0.04,0.013856406460551,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-npml-coverage.R","5c74df8c33e5878d8bca5325e22d1266","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-npml-coverage","bimodal persons; ratio 1.0; N=500; hybrid SE; 80 bootstrap replicates","common-scale item location bias, SE calibration and coverage",200,200,0,0,-0.214285714285714,-0.00230707692963494,0.137502056364095,0.140448055860078,0.979024277139738,0.95,0.0154110350074224,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-npml-coverage.R","5c74df8c33e5878d8bca5325e22d1266","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-npml-coverage","bimodal persons; ratio 1.4; N=500; hybrid SE; 80 bootstrap replicates","log alpha[set2] bias, SE calibration, coverage and omnibus rejection",150,150,0,0,1.4,0.0011769466963735,0.0229357648330225,0.0220410391535686,1.0405936250655,0.946666666666667,0.0183464599471558,NA,NA,NA,NA,1,0,0,0,0,0,"tools/simval/studies/alpha-npml-coverage.R","5c74df8c33e5878d8bca5325e22d1266","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-npml-coverage","bimodal persons; ratio 1.4; N=500; hybrid SE; 80 bootstrap replicates","common-scale item location bias, SE calibration and coverage",150,150,0,0,-0.214285714285714,0.00191898442759599,0.137715329247186,0.135179695628356,1.01875750353663,0.933333333333333,0.0203670030886926,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-npml-coverage.R","5c74df8c33e5878d8bca5325e22d1266","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-npml-coverage","contrasting groups persons; ratio 1.0; N=600; hybrid SE; 80 bootstrap replicates","log alpha[set2] bias, SE calibration, coverage and omnibus rejection",149,150,1,0,1,-0.00109618848155494,0.0233445737664317,0.0233171485834331,1.00117618082247,0.953020134228188,0.0173345985998121,0.0469798657718121,0.0173345985998121,NA,NA,NA,NA,0.00666666666666667,0.0066444072834338,0,0,"tools/simval/studies/alpha-npml-coverage.R","5c74df8c33e5878d8bca5325e22d1266","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-npml-coverage","contrasting groups persons; ratio 1.0; N=600; hybrid SE; 80 bootstrap replicates","common-scale item location bias, SE calibration and coverage",149,150,1,0,-0.214285714285714,0.00841089577259497,0.102943382009987,0.104576372032972,0.984384713379903,0.953020134228188,0.0173345985998121,NA,NA,NA,NA,NA,NA,0.00666666666666667,0.0066444072834338,0,0,"tools/simval/studies/alpha-npml-coverage.R","5c74df8c33e5878d8bca5325e22d1266","abd6a9a+dirty","360e3609691b","2026-08-21",""
