"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"audit3-fixes","DIF time main effect; nuisance cells 10:90","equal-cell repeated-measures Type I",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.0525,0.00498717104178311,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/audit3-fixes.R","7792720a278bec849e8e68be20ec4685","dd9ac91+dirty","26ce2a11584f","2026-08-22","true cell effects +1 and -1; full cell weights; Welch-Satterthwaite reference"
"audit3-fixes","DIF time main effect; nuisance cells 10:90","superseded person-frequency shortcut rejection",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/audit3-fixes.R","7792720a278bec849e8e68be20ec4685","dd9ac91+dirty","26ce2a11584f","2026-08-22","diagnostic comparison only: this shortcut targeted -0.8 rather than the zero equal-cell estimand"
"audit3-fixes","DIF time x group; nuisance sites 10:90","equal-cell mixed-interaction Type I",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.054,0.00505390937789747,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/audit3-fixes.R","7792720a278bec849e8e68be20ec4685","dd9ac91+dirty","26ce2a11584f","2026-08-22","true site-specific interactions +1 and -1; full cell weights; Welch-Satterthwaite reference"
"audit3-fixes","DIF time x group; nuisance sites 10:90","superseded person-frequency shortcut rejection",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/audit3-fixes.R","7792720a278bec849e8e68be20ec4685","dd9ac91+dirty","26ce2a11584f","2026-08-22","diagnostic comparison only: this shortcut targeted -0.8 rather than the zero equal-cell interaction"
"audit3-fixes","BTL-DIF 2 levels x 6 judges","underlying raw pairwise Type I in withheld region",800,800,0,0,NA,NA,NA,NA,NA,NA,NA,0.06625,0.0087990312286754,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/audit3-fixes.R","7792720a278bec849e8e68be20ec4685","dd9ac91+dirty","26ce2a11584f","2026-08-22","public btl_dif withholds these pairwise SEs and probabilities because each level has fewer than eight effective judges"
"audit3-fixes","BTL-DIF 2 levels x 6 judges","superseded global-df pairwise Type I",800,800,0,0,NA,NA,NA,NA,NA,NA,NA,0.07,0.00902645257327435,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/audit3-fixes.R","7792720a278bec849e8e68be20ec4685","dd9ac91+dirty","26ce2a11584f","2026-08-22","diagnostic comparison only: df used every judge in the fit rather than the judges supporting the two cells"
"audit3-fixes","BTL-DIF 2 levels x 8 judges","pairwise Type I in inference region",600,600,0,0,NA,NA,NA,NA,NA,NA,NA,0.055,0.00931502098906445,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/audit3-fixes.R","7792720a278bec849e8e68be20ec4685","dd9ac91+dirty","26ce2a11584f","2026-08-22","balanced workload; pair-specific df = effective judges in the two levels minus 2"
"audit3-fixes","BTL-DIF 2 levels x 10 judges","pairwise Type I in inference region",600,600,0,0,NA,NA,NA,NA,NA,NA,NA,0.0483333333333333,0.0087629915214143,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/audit3-fixes.R","7792720a278bec849e8e68be20ec4685","dd9ac91+dirty","26ce2a11584f","2026-08-22","balanced workload; pair-specific df = effective judges in the two levels minus 2"
"audit3-fixes","BTL-DIF 5 levels x 4 judges","underlying raw pairwise Type I in withheld region",400,400,0,0,NA,NA,NA,NA,NA,NA,NA,0.05825,0.00501424974460317,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/audit3-fixes.R","7792720a278bec849e8e68be20ec4685","dd9ac91+dirty","26ce2a11584f","2026-08-22","public btl_dif withholds these pairwise SEs and probabilities because each level has fewer than eight effective judges"
"audit3-fixes","BTL-DIF 5 levels x 4 judges","superseded global-df pairwise Type I",400,400,0,0,NA,NA,NA,NA,NA,NA,NA,0.0945,0.00646365392445617,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/audit3-fixes.R","7792720a278bec849e8e68be20ec4685","dd9ac91+dirty","26ce2a11584f","2026-08-22","diagnostic comparison only: df used every judge in the fit rather than the judges supporting the two cells"
"audit3-fixes","BTL-DIF 2 x 10 judges; one twofold workload per level","pairwise Type I in imbalanced inference region",600,600,0,0,NA,NA,NA,NA,NA,NA,NA,0.0733333333333334,0.0106512130682677,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/audit3-fixes.R","7792720a278bec849e8e68be20ec4685","dd9ac91+dirty","26ce2a11584f","2026-08-22","public inference retained with a caution: 9.3 effective judges per level"
"audit3-fixes","BTL-DIF 2 x 10 judges; one fivefold workload","underlying raw pairwise Type I in workload-withheld region",600,600,0,0,NA,NA,NA,NA,NA,NA,NA,0.06,0.00970344929464202,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/audit3-fixes.R","7792720a278bec849e8e68be20ec4685","dd9ac91+dirty","26ce2a11584f","2026-08-22","public inference withheld: effective judges 5.8 and 10.0"
