"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","executed","notes"
"btl-clustered","J09_balanced_dep0.0","type1_clustered",0,75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","ae2a2d604613976699a6a96651d4569a","1740ef6","2026-08-11","pooled over 28 pairs, flat truth (all true diffs = 0), t(df=nJudge-1) test"
"btl-clustered","J09_balanced_dep0.0","type1_naive",75,75,0,0,NA,NA,NA,NA,NA,NA,NA,0.0466666666666667,0.00790564569961274,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","ae2a2d604613976699a6a96651d4569a","1740ef6","2026-08-11","pooled over 28 pairs, flat truth, unclustered SE, normal(z) test"
"btl-clustered","J09_balanced_dep0.0","familywise_clustered",0,75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","ae2a2d604613976699a6a96651d4569a","1740ef6","2026-08-11","P(>=1 false rejection among 28 non-independent pairwise tests/replicate)"
"btl-clustered","J09_balanced_dep0.0","coverage_clustered",0,75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","ae2a2d604613976699a6a96651d4569a","1740ef6","2026-08-11","pooled over 28 pairs, spaced truth, clustered SE, t(df=nJudge-1) CI"
"btl-clustered","J09_balanced_dep0.0","coverage_naive",75,75,0,0,NA,NA,NA,NA,NA,0.955714285714286,0.0077845600315682,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","ae2a2d604613976699a6a96651d4569a","1740ef6","2026-08-11","pooled over 28 pairs, spaced truth, unclustered SE, normal(z) CI"
"btl-clustered","J09_balanced_dep0.0","contrast_small_O4_O5",0,75,0,0,-0.408248290463863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","ae2a2d604613976699a6a96651d4569a","1740ef6","2026-08-11","adjacent-object contrast, |true diff| ~0.41 logits; coverage95 is the pooled 28-pair figure"
"btl-clustered","J09_balanced_dep0.0","contrast_large_O1_O8",0,75,0,0,-2.85773803324704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","ae2a2d604613976699a6a96651d4569a","1740ef6","2026-08-11","extreme-object contrast, |true diff| ~2.86 logits; coverage95 is the pooled 28-pair figure"
"btl-clustered","J09_balanced_dep0.0","clustered_inference_available",75,75,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","ae2a2d604613976699a6a96651d4569a","1740ef6","2026-08-11","fraction of replicates where cluster_inference == TRUE (J=9 -> should be 0 (always withheld) per the <10-judge withholding guard)"
"btl-clustered","J20_balanced_dep0.0","type1_clustered",105,105,0,0,NA,NA,NA,NA,NA,NA,NA,0.0445578231292517,0.0059546231853657,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","ae2a2d604613976699a6a96651d4569a","1740ef6","2026-08-11","pooled over 28 pairs, flat truth (all true diffs = 0), t(df=nJudge-1) test"
"btl-clustered","J20_balanced_dep0.0","type1_naive",105,105,0,0,NA,NA,NA,NA,NA,NA,NA,0.0527210884353741,0.00654009673435578,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-clustered.R","ae2a2d604613976699a6a96651d4569a","1740ef6","2026-08-11","pooled over 28 pairs, flat truth, unclustered SE, normal(z) test"
