"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"btl-efrm-multiplicity-current","2 panels, 6 judges/panel, 2 sets, 20 repeats/pair","probability of any raw omnibus p below .05",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.0112915897906362,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-multiplicity-current.R","a3635aff9d2c9ed79f437686651f3dc0","08675af+dirty","8b2530afb990","2026-08-27","judge bootstrap B=100; panels are in the documented caution band"
"btl-efrm-multiplicity-current","2 panels, 6 judges/panel, 2 sets, 20 repeats/pair","Holm familywise error: omnibus decisions",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,0.00612200947402076,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-multiplicity-current.R","a3635aff9d2c9ed79f437686651f3dc0","08675af+dirty","8b2530afb990","2026-08-27","judge bootstrap B=100; panels are in the documented caution band"
"btl-efrm-multiplicity-current","2 panels, 6 judges/panel, 2 sets, 20 repeats/pair","Holm familywise error: individual unit follow-ups",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.00539444158370447,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-multiplicity-current.R","a3635aff9d2c9ed79f437686651f3dc0","08675af+dirty","8b2530afb990","2026-08-27","judge bootstrap B=100; panels are in the documented caution band"
"btl-efrm-multiplicity-current","2 panels, 6 judges/panel, 2 sets, 20 repeats/pair","raw panel-unit Type I",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.033,0.00564898220921256,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-multiplicity-current.R","a3635aff9d2c9ed79f437686651f3dc0","08675af+dirty","8b2530afb990","2026-08-27","judge bootstrap B=100; panels are in the documented caution band"
"btl-efrm-multiplicity-current","2 panels, 6 judges/panel, 2 sets, 20 repeats/pair","raw set-unit Type I",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.067,0.00790638982089803,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-multiplicity-current.R","a3635aff9d2c9ed79f437686651f3dc0","08675af+dirty","8b2530afb990","2026-08-27","judge bootstrap B=100; panels are in the documented caution band"
"btl-efrm-multiplicity-current","2 panels, 6 judges/panel, 2 sets, 20 repeats/pair","raw set-origin Type I",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.06,0.00750999334220743,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-multiplicity-current.R","a3635aff9d2c9ed79f437686651f3dc0","08675af+dirty","8b2530afb990","2026-08-27","judge bootstrap B=100; panels are in the documented caution band"
"btl-efrm-multiplicity-current","2 panels, 6 judges/panel, 2 sets, 20 repeats/pair","Holm-adjusted panel-unit omnibus Type I",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.007,0.00263647491928143,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-multiplicity-current.R","a3635aff9d2c9ed79f437686651f3dc0","08675af+dirty","8b2530afb990","2026-08-27","judge bootstrap B=100; panels are in the documented caution band"
"btl-efrm-multiplicity-current","2 panels, 6 judges/panel, 2 sets, 20 repeats/pair","Holm-adjusted set-unit omnibus Type I",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.019,0.00431729081716764,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-multiplicity-current.R","a3635aff9d2c9ed79f437686651f3dc0","08675af+dirty","8b2530afb990","2026-08-27","judge bootstrap B=100; panels are in the documented caution band"
"btl-efrm-multiplicity-current","2 panels, 6 judges/panel, 2 sets, 20 repeats/pair","Holm-adjusted set-origin omnibus Type I",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.016,0.00396787096564392,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-multiplicity-current.R","a3635aff9d2c9ed79f437686651f3dc0","08675af+dirty","8b2530afb990","2026-08-27","judge bootstrap B=100; panels are in the documented caution band"
"btl-efrm-multiplicity-current","2 panels, 6 judges/panel, 2 sets, 20 repeats/pair","log alpha[set2] bias, SE calibration and coverage",1000,1000,0,0,NA,-0.0450487288559265,0.163752386975303,0.158351586724217,1.03410638543517,0.9,0.00948683298050514,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-multiplicity-current.R","a3635aff9d2c9ed79f437686651f3dc0","08675af+dirty","8b2530afb990","2026-08-27","judge bootstrap B=100; panels are in the documented caution band"
