"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"channel-head-to-head","8 items, N = 250, unit ratio 1.30","log unit ratio, item channel",100,100,0,NA,250,0.00295045440956726,0.0844165181571129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/channel-head-to-head.R","fe08c4df2d8714c8afcfc0c2ea677f01","624928b","80e9b520006c","2026-08-19","items 8"
"channel-head-to-head","8 items, N = 250, unit ratio 1.30","log unit ratio, person channel",100,100,0,NA,250,0.00996349228415816,0.138255495509991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/channel-head-to-head.R","fe08c4df2d8714c8afcfc0c2ea677f01","624928b","80e9b520006c","2026-08-19","items 8"
"channel-head-to-head","8 items, N = 980, unit ratio 1.30","log unit ratio, item channel",100,100,0,NA,980,0.00361033476553452,0.0362177982379531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/channel-head-to-head.R","fe08c4df2d8714c8afcfc0c2ea677f01","624928b","80e9b520006c","2026-08-19","items 8"
"channel-head-to-head","8 items, N = 980, unit ratio 1.30","log unit ratio, person channel",100,100,0,NA,980,0.00869774817247954,0.0711281492430552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/channel-head-to-head.R","fe08c4df2d8714c8afcfc0c2ea677f01","624928b","80e9b520006c","2026-08-19","items 8"
"channel-head-to-head","12 items, N = 250, unit ratio 1.30","log unit ratio, item channel",100,100,0,NA,250,0.00598216281052788,0.0701037891905628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/channel-head-to-head.R","fe08c4df2d8714c8afcfc0c2ea677f01","624928b","80e9b520006c","2026-08-19","items 12"
"channel-head-to-head","12 items, N = 250, unit ratio 1.30","log unit ratio, person channel",100,100,0,NA,250,0.00485721377091214,0.094489598956504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/channel-head-to-head.R","fe08c4df2d8714c8afcfc0c2ea677f01","624928b","80e9b520006c","2026-08-19","items 12"
"channel-head-to-head","12 items, N = 980, unit ratio 1.30","log unit ratio, item channel",100,100,0,NA,980,0.00127392990983705,0.0326842213701116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/channel-head-to-head.R","fe08c4df2d8714c8afcfc0c2ea677f01","624928b","80e9b520006c","2026-08-19","items 12"
"channel-head-to-head","12 items, N = 980, unit ratio 1.30","log unit ratio, person channel",100,100,0,NA,980,0.0016596791861333,0.0477781362745233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/channel-head-to-head.R","fe08c4df2d8714c8afcfc0c2ea677f01","624928b","80e9b520006c","2026-08-19","items 12"
"channel-head-to-head","20 items, N = 250, unit ratio 1.30","log unit ratio, item channel",100,100,0,NA,250,0.00360303279430729,0.052449161733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/channel-head-to-head.R","fe08c4df2d8714c8afcfc0c2ea677f01","624928b","80e9b520006c","2026-08-19","items 20"
"channel-head-to-head","20 items, N = 250, unit ratio 1.30","log unit ratio, person channel",100,100,0,NA,250,0.00985847884876023,0.0663416516301079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/channel-head-to-head.R","fe08c4df2d8714c8afcfc0c2ea677f01","624928b","80e9b520006c","2026-08-19","items 20"
