"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"paired-comparison history fit bootstrap","dichotomous, 6 objects x 30 judges","total pairwise chi-square Type I error",200,200,0,0,0,39800,39800,0,0,NA,NA,NA,NA,NA,NA,NA,0.065,0.0174320107847603,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history.R","9511c6047466f97943ce14500a181737","0b76116+dirty","daddaa5c5222","2026-08-31","B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 39800 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison history fit bootstrap","dichotomous, 6 objects x 30 judges","pair chi-square joint-adjusted familywise error",200,200,0,0,0,39800,39800,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,0.012995191418367,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history.R","9511c6047466f97943ce14500a181737","0b76116+dirty","daddaa5c5222","2026-08-31","B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 39800 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison history fit bootstrap","dichotomous, 6 objects x 30 judges","object fit-residual joint-adjusted familywise error",200,200,0,0,0,39800,39800,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,0.012995191418367,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history.R","9511c6047466f97943ce14500a181737","0b76116+dirty","daddaa5c5222","2026-08-31","B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 39800 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison history fit bootstrap","dichotomous, 6 objects x 30 judges","judge fit-residual joint-adjusted familywise error",200,200,0,0,0,39800,39800,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.0202361063448481,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history.R","9511c6047466f97943ce14500a181737","0b76116+dirty","daddaa5c5222","2026-08-31","B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 39800 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison history fit bootstrap","dichotomous, 6 objects x 30 judges","judge fit-residual marginal Type I error",200,200,0,0,0,39800,39800,0,0,NA,NA,NA,NA,NA,NA,NA,0.0423333333333333,0.00241794427038666,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history.R","9511c6047466f97943ce14500a181737","0b76116+dirty","daddaa5c5222","2026-08-31","B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 39800 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison history fit bootstrap","polytomous, 6 objects x 30 judges","total pairwise chi-square Type I error",200,200,0,0,0,39800,39800,0,0,NA,NA,NA,NA,NA,NA,NA,0.03,0.0120623380818148,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history.R","9511c6047466f97943ce14500a181737","0b76116+dirty","daddaa5c5222","2026-08-31","B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 39800 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison history fit bootstrap","polytomous, 6 objects x 30 judges","pair chi-square joint-adjusted familywise error",200,200,0,0,0,39800,39800,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,0.012995191418367,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history.R","9511c6047466f97943ce14500a181737","0b76116+dirty","daddaa5c5222","2026-08-31","B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 39800 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison history fit bootstrap","polytomous, 6 objects x 30 judges","object fit-residual joint-adjusted familywise error",200,200,0,0,0,39800,39800,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.0167928556237467,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history.R","9511c6047466f97943ce14500a181737","0b76116+dirty","daddaa5c5222","2026-08-31","B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 39800 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison history fit bootstrap","polytomous, 6 objects x 30 judges","judge fit-residual joint-adjusted familywise error",200,200,0,0,0,39800,39800,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.0167928556237467,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history.R","9511c6047466f97943ce14500a181737","0b76116+dirty","daddaa5c5222","2026-08-31","B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 39800 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison history fit bootstrap","polytomous, 6 objects x 30 judges","judge fit-residual marginal Type I error",200,200,0,0,0,39800,39800,0,0,NA,NA,NA,NA,NA,NA,NA,0.0365,0.00242816964334498,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history.R","9511c6047466f97943ce14500a181737","0b76116+dirty","daddaa5c5222","2026-08-31","B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 39800 bootstrap refits did not converge; 0 otherwise failed"
