"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"coherence-fixes","three sets, three panels; 8 within/4 cross repeats","reported-minus-reconstructed loglik",78,80,2,0,NA,6.12159895424085e-14,8.97407559441084e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.0174553000547112,0,0,"tools/simval/studies/coherence-fixes.R","25e3f34eddee8bb9d71f77d3c79e8a31","08675af+dirty","dc534f567649","2026-08-27","identity check against every stored expected comparison probability"
"coherence-fixes","three sets, three panels; 8 within/4 cross repeats","common-scale object recovery",78,80,2,0,NA,0.0011739382635715,0.400751125268472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.0174553000547112,0,0,"tools/simval/studies/coherence-fixes.R","25e3f34eddee8bb9d71f77d3c79e8a31","08675af+dirty","dc534f567649","2026-08-27","emp_sd field holds mean within-replicate object RMSE"
"coherence-fixes","three sets, three panels; 8 within/4 cross repeats","phi2 recovery",78,80,2,0,-0.00414083999951913,-0.0251412939817733,0.352706542974779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.0174553000547112,0,0,"tools/simval/studies/coherence-fixes.R","25e3f34eddee8bb9d71f77d3c79e8a31","08675af+dirty","dc534f567649","2026-08-27","point-estimate recovery after refitting all sets at reconciled phi"
"coherence-fixes","three sets, three panels; 8 within/4 cross repeats","alpha2 recovery",78,80,2,0,0.22314355131421,-0.141485972672734,0.363475695523885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.0174553000547112,0,0,"tools/simval/studies/coherence-fixes.R","25e3f34eddee8bb9d71f77d3c79e8a31","08675af+dirty","dc534f567649","2026-08-27","point-estimate recovery after refitting all sets at reconciled phi"
"coherence-fixes","three sets, three panels; 8 within/4 cross repeats","alpha3 recovery",77,80,2,0,-0.22314355131421,-0.127964572178568,0.479469184872646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.0174553000547112,0,0,"tools/simval/studies/coherence-fixes.R","25e3f34eddee8bb9d71f77d3c79e8a31","08675af+dirty","dc534f567649","2026-08-27","point-estimate recovery after refitting all sets at reconciled phi"
"coherence-fixes","three sets, three panels; 8 within/4 cross repeats","kappa2 recovery",78,80,2,0,0.4,-0.00721345562460757,0.233004782081624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.0174553000547112,0,0,"tools/simval/studies/coherence-fixes.R","25e3f34eddee8bb9d71f77d3c79e8a31","08675af+dirty","dc534f567649","2026-08-27","point-estimate recovery after refitting all sets at reconciled phi"
"coherence-fixes","three sets, three panels; 8 within/4 cross repeats","kappa3 recovery",78,80,2,0,-0.3,0.0107352704153221,0.20065414172664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.0174553000547112,0,0,"tools/simval/studies/coherence-fixes.R","25e3f34eddee8bb9d71f77d3c79e8a31","08675af+dirty","dc534f567649","2026-08-27","point-estimate recovery after refitting all sets at reconciled phi"
"coherence-fixes","three sets, three panels; 24 within/12 cross repeats","reported-minus-reconstructed loglik",60,60,0,0,NA,1.8947806286936e-14,1.88396557139988e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/coherence-fixes.R","25e3f34eddee8bb9d71f77d3c79e8a31","08675af+dirty","dc534f567649","2026-08-27","identity check against every stored expected comparison probability"
"coherence-fixes","three sets, three panels; 24 within/12 cross repeats","common-scale object recovery",60,60,0,0,NA,0.00422022588729219,0.231565010467483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/coherence-fixes.R","25e3f34eddee8bb9d71f77d3c79e8a31","08675af+dirty","dc534f567649","2026-08-27","emp_sd field holds mean within-replicate object RMSE"
"coherence-fixes","three sets, three panels; 24 within/12 cross repeats","phi2 recovery",60,60,0,0,-0.00414083999951913,-4.69604665470124e-05,0.11167694038627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/coherence-fixes.R","25e3f34eddee8bb9d71f77d3c79e8a31","08675af+dirty","dc534f567649","2026-08-27","point-estimate recovery after refitting all sets at reconciled phi"
