"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-bootstrap-public-conformance","multifactor","max_abs_F_difference",1,1,0,0,0,49,49,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-public-conformance.R","0a7a7af63297cbd0ee9c2c8ad85010bc","bee6523+dirty","067abd31b102","2026-09-01","independent public-versus-manual orchestration; exact score, missingness, family and probability check"
"dif-bootstrap-public-conformance","multifactor","max_abs_marginal_p_difference",1,1,0,0,0,49,49,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-public-conformance.R","0a7a7af63297cbd0ee9c2c8ad85010bc","bee6523+dirty","067abd31b102","2026-09-01","independent public-versus-manual orchestration; exact score, missingness, family and probability check"
"dif-bootstrap-public-conformance","multifactor","max_abs_adjusted_p_difference",1,1,0,0,0,49,49,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-public-conformance.R","0a7a7af63297cbd0ee9c2c8ad85010bc","bee6523+dirty","067abd31b102","2026-09-01","independent public-versus-manual orchestration; exact score, missingness, family and probability check"
"dif-bootstrap-public-conformance","multifactor","score_preservation_failures",1,1,0,0,0,49,49,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-public-conformance.R","0a7a7af63297cbd0ee9c2c8ad85010bc","bee6523+dirty","067abd31b102","2026-09-01","independent public-versus-manual orchestration; exact score, missingness, family and probability check"
"dif-bootstrap-public-conformance","multifactor","missingness_preservation_failures",1,1,0,0,0,49,49,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-public-conformance.R","0a7a7af63297cbd0ee9c2c8ad85010bc","bee6523+dirty","067abd31b102","2026-09-01","independent public-versus-manual orchestration; exact score, missingness, family and probability check"
"dif-bootstrap-public-conformance","repeated","max_abs_F_difference",1,1,0,0,0,49,49,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-public-conformance.R","0a7a7af63297cbd0ee9c2c8ad85010bc","bee6523+dirty","067abd31b102","2026-09-01","independent public-versus-manual orchestration; exact score, missingness, family and probability check"
"dif-bootstrap-public-conformance","repeated","max_abs_marginal_p_difference",1,1,0,0,0,49,49,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-public-conformance.R","0a7a7af63297cbd0ee9c2c8ad85010bc","bee6523+dirty","067abd31b102","2026-09-01","independent public-versus-manual orchestration; exact score, missingness, family and probability check"
"dif-bootstrap-public-conformance","repeated","max_abs_adjusted_p_difference",1,1,0,0,0,49,49,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-public-conformance.R","0a7a7af63297cbd0ee9c2c8ad85010bc","bee6523+dirty","067abd31b102","2026-09-01","independent public-versus-manual orchestration; exact score, missingness, family and probability check"
"dif-bootstrap-public-conformance","repeated","score_preservation_failures",1,1,0,0,0,49,49,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-public-conformance.R","0a7a7af63297cbd0ee9c2c8ad85010bc","bee6523+dirty","067abd31b102","2026-09-01","independent public-versus-manual orchestration; exact score, missingness, family and probability check"
"dif-bootstrap-public-conformance","repeated","missingness_preservation_failures",1,1,0,0,0,49,49,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-public-conformance.R","0a7a7af63297cbd0ee9c2c8ad85010bc","bee6523+dirty","067abd31b102","2026-09-01","independent public-versus-manual orchestration; exact score, missingness, family and probability check"
