"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-bootstrap-reference-transition","incomplete","current reference-p FWER",100,100,0,0,0,NA,NA,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.0195959179422654,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-reference-transition.R","4f2ff5ca295a723e01ace6adfdc4701d","git:86ddf2c+dirty","2f940e23317c","2026-09-06","same observed datasets and conditional draws under both calculations; current algorithm uses reference probabilities for marginal and single-step minimum-p inference; R/dif-bootstrap.R md5 13f561182c1720a0465ac751d7f05d00"
"dif-bootstrap-reference-transition","incomplete","legacy raw-F-floor FWER",100,100,0,0,0,NA,NA,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.0195959179422654,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-reference-transition.R","4f2ff5ca295a723e01ace6adfdc4701d","git:86ddf2c+dirty","2f940e23317c","2026-09-06","same observed datasets and conditional draws under both calculations; current algorithm uses reference probabilities for marginal and single-step minimum-p inference; R/dif-bootstrap.R md5 13f561182c1720a0465ac751d7f05d00"
"dif-bootstrap-reference-transition","incomplete","paired current-minus-legacy FWER",100,100,0,0,0,NA,NA,9900,9900,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-reference-transition.R","4f2ff5ca295a723e01ace6adfdc4701d","git:86ddf2c+dirty","2f940e23317c","2026-09-06","same observed datasets and conditional draws under both calculations; current algorithm uses reference probabilities for marginal and single-step minimum-p inference; R/dif-bootstrap.R md5 13f561182c1720a0465ac751d7f05d00"
"dif-bootstrap-reference-transition","incomplete","current reference-p marginal term Type I",100,100,0,0,0,NA,NA,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,0.04,0.00280863096337128,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-reference-transition.R","4f2ff5ca295a723e01ace6adfdc4701d","git:86ddf2c+dirty","2f940e23317c","2026-09-06","same observed datasets and conditional draws under both calculations; current algorithm uses reference probabilities for marginal and single-step minimum-p inference; R/dif-bootstrap.R md5 13f561182c1720a0465ac751d7f05d00"
"dif-bootstrap-reference-transition","incomplete","legacy raw-F marginal term Type I",100,100,0,0,0,NA,NA,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,0.0407142857142857,0.00291694273806092,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-reference-transition.R","4f2ff5ca295a723e01ace6adfdc4701d","git:86ddf2c+dirty","2f940e23317c","2026-09-06","same observed datasets and conditional draws under both calculations; current algorithm uses reference probabilities for marginal and single-step minimum-p inference; R/dif-bootstrap.R md5 13f561182c1720a0465ac751d7f05d00"
"dif-bootstrap-reference-transition","incomplete","datasets with changed marginal decision",100,100,0,0,0,NA,NA,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,0.07,0.0255147016443462,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-reference-transition.R","4f2ff5ca295a723e01ace6adfdc4701d","git:86ddf2c+dirty","2f940e23317c","2026-09-06","same observed datasets and conditional draws under both calculations; current algorithm uses reference probabilities for marginal and single-step minimum-p inference; R/dif-bootstrap.R md5 13f561182c1720a0465ac751d7f05d00"
"dif-bootstrap-reference-transition","incomplete","datasets with changed adjusted decision",100,100,0,0,0,NA,NA,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-reference-transition.R","4f2ff5ca295a723e01ace6adfdc4701d","git:86ddf2c+dirty","2f940e23317c","2026-09-06","same observed datasets and conditional draws under both calculations; current algorithm uses reference probabilities for marginal and single-step minimum-p inference; R/dif-bootstrap.R md5 13f561182c1720a0465ac751d7f05d00"
"dif-bootstrap-reference-transition","incomplete","maximum marginal probability change",100,100,0,0,0,NA,NA,9900,9900,0,0,NA,0.0700000000000001,0.0108483578797378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-reference-transition.R","4f2ff5ca295a723e01ace6adfdc4701d","git:86ddf2c+dirty","2f940e23317c","2026-09-06","same observed datasets and conditional draws under both calculations; current algorithm uses reference probabilities for marginal and single-step minimum-p inference; R/dif-bootstrap.R md5 13f561182c1720a0465ac751d7f05d00"
"dif-bootstrap-reference-transition","incomplete","maximum adjusted probability change",100,100,0,0,0,NA,NA,9900,9900,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-reference-transition.R","4f2ff5ca295a723e01ace6adfdc4701d","git:86ddf2c+dirty","2f940e23317c","2026-09-06","same observed datasets and conditional draws under both calculations; current algorithm uses reference probabilities for marginal and single-step minimum-p inference; R/dif-bootstrap.R md5 13f561182c1720a0465ac751d7f05d00"
"dif-bootstrap-reference-transition","incomplete","mean usable bootstrap proportion",100,100,0,0,0,NA,NA,9900,9900,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-reference-transition.R","4f2ff5ca295a723e01ace6adfdc4701d","git:86ddf2c+dirty","2f940e23317c","2026-09-06","same observed datasets and conditional draws under both calculations; current algorithm uses reference probabilities for marginal and single-step minimum-p inference; R/dif-bootstrap.R md5 13f561182c1720a0465ac751d7f05d00"
