"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-bootstrap-repeated","balanced_null","primary adjusted FWER",350,350,0,0,0,34650,34650,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0685714285714286,0.0135086625916327,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","balanced_null","bootstrap minimum-p FWER",350,350,0,0,0,34650,34650,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0485714285714286,0.011490647737301,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","balanced_null","paired bootstrap-minus-primary FWER",350,350,0,0,0,34650,34650,0,0,0,-0.02,NA,0.00749402818601064,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","balanced_null","mean Greenhouse-Geisser epsilon",350,350,0,0,0,34650,34650,0,0,0,0.96076598831365,0.00954148425003356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","balanced_null","mean usable bootstrap proportion",350,350,0,0,0,34650,34650,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","nonspherical_null","primary adjusted FWER",350,350,0,0,0,34650,34650,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0285714285714286,0.00890507111398834,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","nonspherical_null","bootstrap minimum-p FWER",350,350,0,0,0,34650,34650,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0228571428571429,0.00798832968014698,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","nonspherical_null","paired bootstrap-minus-primary FWER",350,350,0,0,0,34650,34650,0,0,0,-0.00571428571428571,NA,0.00571428571428573,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","nonspherical_null","mean Greenhouse-Geisser epsilon",350,350,0,0,0,34650,34650,0,0,0,0.840093366281724,0.0192066111002933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","nonspherical_null","mean usable bootstrap proportion",350,350,0,0,0,34650,34650,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","incomplete_mixed_null","primary adjusted FWER",350,350,0,0,0,34650,34650,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0457142857142857,0.011164291263529,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","incomplete_mixed_null","bootstrap minimum-p FWER",350,350,0,0,0,34650,34650,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.0104744587313276,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","incomplete_mixed_null","paired bootstrap-minus-primary FWER",350,350,0,0,0,34650,34650,0,0,0,-0.00571428571428571,NA,0.00403481718572706,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","incomplete_mixed_null","mean Greenhouse-Geisser epsilon",350,350,0,0,0,34650,34650,0,0,0,0.939247643021023,0.0140168291286074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","incomplete_mixed_null","mean usable bootstrap proportion",350,350,0,0,0,34650,34650,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","uniform_occasion_0.70","mean Greenhouse-Geisser epsilon",125,125,0,0,0,12375,12375,0,0,0.7,0.972459610610051,0.00609615401128631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","uniform_occasion_0.70","mean usable bootstrap proportion",125,125,0,0,0,12375,12375,0,0,0.7,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","uniform_occasion_0.70","primary affected-item power",125,125,0,0,0,12375,12375,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488,0.0447084779432268,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","uniform_occasion_0.70","bootstrap affected-item power",125,125,0,0,0,12375,12375,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416,0.044085734654194,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
"dif-bootstrap-repeated","uniform_occasion_0.70","primary invariant-item FWER",125,125,0,0,0,12375,12375,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.0136891197671728,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-repeated.R","baccef39eea4da36c0ab0f2859aa4a69","bee6523+dirty","067abd31b102","2026-09-01","four-occasion mixed residual ANOVA; Holm primary and complete-family minimum-p bootstrap; performance conditional on an analysable observed fit and the public usable-refit rule"
