"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-bootstrap-structural-alternative","explanatory_uniform_0.50","primary affected-unit power",100,100,0,0,0,9900,9900,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.0217944947177034,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-alternative.R","a1a3d96e20c817c33c545ae4ebbe693c","bee6523+dirty","067abd31b102","2026-09-01","one uniform-DIF member; 99 fitted-global-null refits per analysed dataset; power for the affected member and FWER among invariant members are separate"
"dif-bootstrap-structural-alternative","explanatory_uniform_0.50","bootstrap affected-unit power",100,100,0,0,0,9900,9900,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.0271293199325011,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-alternative.R","a1a3d96e20c817c33c545ae4ebbe693c","bee6523+dirty","067abd31b102","2026-09-01","one uniform-DIF member; 99 fitted-global-null refits per analysed dataset; power for the affected member and FWER among invariant members are separate"
"dif-bootstrap-structural-alternative","explanatory_uniform_0.50","primary invariant-unit FWER",100,100,0,0,0,9900,9900,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.017058722109232,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-alternative.R","a1a3d96e20c817c33c545ae4ebbe693c","bee6523+dirty","067abd31b102","2026-09-01","one uniform-DIF member; 99 fitted-global-null refits per analysed dataset; power for the affected member and FWER among invariant members are separate"
"dif-bootstrap-structural-alternative","explanatory_uniform_0.50","bootstrap invariant-unit FWER",100,100,0,0,0,9900,9900,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.014,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-alternative.R","a1a3d96e20c817c33c545ae4ebbe693c","bee6523+dirty","067abd31b102","2026-09-01","one uniform-DIF member; 99 fitted-global-null refits per analysed dataset; power for the affected member and FWER among invariant members are separate"
"dif-bootstrap-structural-alternative","explanatory_uniform_0.50","paired bootstrap-minus-primary power",100,100,0,0,0,9900,9900,0,0,0.5,0.03,NA,0.0171446607997765,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-alternative.R","a1a3d96e20c817c33c545ae4ebbe693c","bee6523+dirty","067abd31b102","2026-09-01","one uniform-DIF member; 99 fitted-global-null refits per analysed dataset; power for the affected member and FWER among invariant members are separate"
"dif-bootstrap-structural-alternative","explanatory_uniform_0.50","paired bootstrap-minus-primary invariant FWER",100,100,0,0,0,9900,9900,0,0,0.5,-0.01,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-alternative.R","a1a3d96e20c817c33c545ae4ebbe693c","bee6523+dirty","067abd31b102","2026-09-01","one uniform-DIF member; 99 fitted-global-null refits per analysed dataset; power for the affected member and FWER among invariant members are separate"
"dif-bootstrap-structural-alternative","explanatory_uniform_0.50","mean usable bootstrap proportion",100,100,0,0,0,9900,9900,0,0,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-alternative.R","a1a3d96e20c817c33c545ae4ebbe693c","bee6523+dirty","067abd31b102","2026-09-01","one uniform-DIF member; 99 fitted-global-null refits per analysed dataset; power for the affected member and FWER among invariant members are separate"
"dif-bootstrap-structural-alternative","explanatory_uniform_0.90","primary affected-unit power",100,100,0,0,0,9900,9900,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.0499899989998,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-alternative.R","a1a3d96e20c817c33c545ae4ebbe693c","bee6523+dirty","067abd31b102","2026-09-01","one uniform-DIF member; 99 fitted-global-null refits per analysed dataset; power for the affected member and FWER among invariant members are separate"
"dif-bootstrap-structural-alternative","explanatory_uniform_0.90","bootstrap affected-unit power",100,100,0,0,0,9900,9900,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.0499899989998,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-alternative.R","a1a3d96e20c817c33c545ae4ebbe693c","bee6523+dirty","067abd31b102","2026-09-01","one uniform-DIF member; 99 fitted-global-null refits per analysed dataset; power for the affected member and FWER among invariant members are separate"
"dif-bootstrap-structural-alternative","explanatory_uniform_0.90","primary invariant-unit FWER",100,100,0,0,0,9900,9900,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.0271293199325011,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-alternative.R","a1a3d96e20c817c33c545ae4ebbe693c","bee6523+dirty","067abd31b102","2026-09-01","one uniform-DIF member; 99 fitted-global-null refits per analysed dataset; power for the affected member and FWER among invariant members are separate"
