"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-bootstrap-structural-followup","efrm","primary adjusted FWER",126,150,11,1,12,13563,13230,71,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0396825396825397,0.0173908924638602,NA,NA,0.0733333333333333,0.0212846667119088,0.00666666666666667,0.0066444072834338,0.08,0.0221509969677815,"tools/simval/studies/dif-bootstrap-structural-followup.R","29741a63e1da5de9470843c24e4149a7","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysable dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-followup","efrm","bootstrap minimum-p FWER",126,150,11,1,12,13563,13230,71,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0396825396825397,0.0173908924638602,NA,NA,0.0733333333333333,0.0212846667119088,0.00666666666666667,0.0066444072834338,0.08,0.0221509969677815,"tools/simval/studies/dif-bootstrap-structural-followup.R","29741a63e1da5de9470843c24e4149a7","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysable dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-followup","efrm","paired bootstrap-minus-primary FWER",126,150,11,1,12,13563,13230,71,262,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0733333333333333,0.0212846667119088,0.00666666666666667,0.0066444072834338,0.08,0.0221509969677815,"tools/simval/studies/dif-bootstrap-structural-followup.R","29741a63e1da5de9470843c24e4149a7","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysable dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-followup","efrm","bootstrap marginal term Type I",126,150,11,1,12,13563,13230,71,262,NA,NA,NA,NA,NA,NA,NA,0.0464285714285714,0.0045488031367959,NA,NA,NA,NA,0.0733333333333333,0.0212846667119088,0.00666666666666667,0.0066444072834338,0.08,0.0221509969677815,"tools/simval/studies/dif-bootstrap-structural-followup.R","29741a63e1da5de9470843c24e4149a7","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysable dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-followup","efrm","mean usable bootstrap proportion",126,150,11,1,12,13563,13230,71,262,NA,0.998236331569665,0.00734857920221172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0733333333333333,0.0212846667119088,0.00666666666666667,0.0066444072834338,0.08,0.0221509969677815,"tools/simval/studies/dif-bootstrap-structural-followup.R","29741a63e1da5de9470843c24e4149a7","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysable dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-followup","efrm","outer loss: DIF bootstrap (refused)",126,150,11,1,12,13563,13230,71,262,11,0.0733333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0733333333333333,0.0212846667119088,0.00666666666666667,0.0066444072834338,0.08,0.0221509969677815,"tools/simval/studies/dif-bootstrap-structural-followup.R","29741a63e1da5de9470843c24e4149a7","bee6523+dirty","067abd31b102","2026-09-01","only 75 of 99 DIF bootstrap replicates retained the complete family (0 did not converge; 24 otherwise failed); at least 90 are required | only 66 of 99 DIF bootstrap replicates retained the complete family (33 did not converge; 0 otherwise failed); at least 90 are required | only 78 of 99 DIF bootstrap replicates retained the complete family (0 did not converge; 21 otherwise failed); at least 90 are required | only 86 of 99 DIF bootstrap replicates retained the complete family (13 did not converge; 0 otherwise failed); at least 90 are required | only 74 of 99 DIF bootstrap replicates retained the complete family (0 did not converge; 25 otherwise failed); at least 90 are required | only 71 of 99 DIF bootstrap replicates retained the complete family (0 did not converge; 28 otherwise failed); at least 90 are required | only 63 of 99 DIF bootstrap replicates retained the complete family (2 did not converge; 34 otherwise failed); at least 90 are required | only 63 of 99 DIF bootstrap replicates retained the complete family (0 did not converge; 36 otherwise failed); at least 90 are required | only 57 of 99 DIF bootstrap replicates retained the complete family (0 did not converge; 42 otherwise failed); at least 90 are required | only 59 of 99 DIF bootstrap replicates retained the complete family (0 did not converge; 40 otherwise failed); at least 90 are required"
"dif-bootstrap-structural-followup","efrm","outer loss: observed fit (error)",126,150,11,1,12,13563,13230,71,262,12,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0733333333333333,0.0212846667119088,0.00666666666666667,0.0066444072834338,0.08,0.0221509969677815,"tools/simval/studies/dif-bootstrap-structural-followup.R","29741a63e1da5de9470843c24e4149a7","bee6523+dirty","067abd31b102","2026-09-01","the semiparametric likelihood link failed for sets 'set1' and 'set2' | too little true person variance to link sets 'set1' and 'set2'"
"dif-bootstrap-structural-followup","efrm","outer loss: observed fit (nonconverged)",126,150,11,1,12,13563,13230,71,262,1,0.00666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0733333333333333,0.0212846667119088,0.00666666666666667,0.0066444072834338,0.08,0.0221509969677815,"tools/simval/studies/dif-bootstrap-structural-followup.R","29741a63e1da5de9470843c24e4149a7","bee6523+dirty","067abd31b102","2026-09-01",""
"dif-bootstrap-structural-followup","btl","primary adjusted FWER",150,150,0,0,0,14850,14850,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.016,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-followup.R","29741a63e1da5de9470843c24e4149a7","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysable dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-followup","btl","bootstrap minimum-p FWER",150,150,0,0,0,14850,14850,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0533333333333334,0.0183464599471558,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-followup.R","29741a63e1da5de9470843c24e4149a7","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysable dataset; performance conditional on the observed analysis and usable-refit rule"
