"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-bootstrap-structural-null","explanatory","primary adjusted FWER",50,50,0,0,0,4950,4950,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.027712812921102,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","explanatory","bootstrap minimum-p FWER",50,50,0,0,0,4950,4950,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.0197989898732233,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","explanatory","paired bootstrap-minus-primary FWER",50,50,0,0,0,4950,4950,0,0,NA,-0.02,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","explanatory","bootstrap marginal term Type I",50,50,0,0,0,4950,4950,0,0,NA,NA,NA,NA,NA,NA,NA,0.0316666666666667,0.00709907215041694,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","explanatory","mean usable bootstrap proportion",50,50,0,0,0,4950,4950,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","mfrm","primary adjusted FWER",50,50,0,0,0,4950,4950,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.0197989898732233,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","mfrm","bootstrap minimum-p FWER",50,50,0,0,0,4950,4950,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.0197989898732233,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","mfrm","paired bootstrap-minus-primary FWER",50,50,0,0,0,4950,4950,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","mfrm","bootstrap marginal term Type I",50,50,0,0,0,4950,4950,0,0,NA,NA,NA,NA,NA,NA,NA,0.0375,0.0102581475831036,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","mfrm","mean usable bootstrap proportion",50,50,0,0,0,4950,4950,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","efrm","primary adjusted FWER",44,50,6,0,0,4356,4338,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,0.0433392086020724,NA,NA,0.12,0.0459565011723042,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","efrm","bootstrap minimum-p FWER",44,50,6,0,0,4356,4338,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,0.0433392086020724,NA,NA,0.12,0.0459565011723042,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","efrm","paired bootstrap-minus-primary FWER",44,50,6,0,0,4356,4338,4,14,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.0459565011723042,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","efrm","bootstrap marginal term Type I",44,50,6,0,0,4356,4338,4,14,NA,NA,NA,NA,NA,NA,NA,0.0454545454545454,0.0090245996055001,NA,NA,NA,NA,0.12,0.0459565011723042,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","efrm","mean usable bootstrap proportion",44,50,6,0,0,4356,4338,4,14,NA,0.995867768595041,0.0123842307489595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.0459565011723042,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","btl","primary adjusted FWER",50,50,0,0,0,4950,4950,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.0424264068711929,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","btl","bootstrap minimum-p FWER",50,50,0,0,0,4950,4950,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.0424264068711929,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","btl","paired bootstrap-minus-primary FWER",50,50,0,0,0,4950,4950,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","btl","bootstrap marginal term Type I",50,50,0,0,0,4950,4950,0,0,NA,NA,NA,NA,NA,NA,NA,0.044,0.010751364412701,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","btl","mean usable bootstrap proportion",50,50,0,0,0,4950,4950,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","btl_clustered","primary adjusted FWER",50,50,0,0,0,4950,4950,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.0197989898732233,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","btl_clustered","bootstrap minimum-p FWER",50,50,0,0,0,4950,4950,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.0197989898732233,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","btl_clustered","paired bootstrap-minus-primary FWER",50,50,0,0,0,4950,4950,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","btl_clustered","bootstrap marginal term Type I",50,50,0,0,0,4950,4950,0,0,NA,NA,NA,NA,NA,NA,NA,0.022,0.00657142857142857,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
"dif-bootstrap-structural-null","btl_clustered","mean usable bootstrap proportion",50,50,0,0,0,4950,4950,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-bootstrap-structural-null.R","1b89bcfb5eb539f539a8a9388ab79318","bee6523+dirty","067abd31b102","2026-09-01","99 fitted-null refits per analysed dataset; performance conditional on the observed analysis and usable-refit rule"
