"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-conditional-bootstrap-confirm","PCM imbalanced null 0","current uniform item-wise Type I",200,200,0,0,0,NA,NA,NA,NA,NA,NA,0.0533333333333333,0.00622489373932479,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-confirm.R","ed1190e456d2e16c9bd75eafab124e8c","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 199 conditional refits; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; hybrid reference"
"dif-conditional-bootstrap-confirm","PCM imbalanced null 0","bootstrap uniform item-wise Type I",200,200,0,0,0,NA,NA,NA,NA,NA,NA,0.0533333333333333,0.00655262594354372,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-confirm.R","ed1190e456d2e16c9bd75eafab124e8c","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 199 conditional refits; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; empirical tail"
"dif-conditional-bootstrap-confirm","PCM imbalanced null 0","paired uniform Type I difference",200,200,0,0,0,0,NA,0.00334169804744724,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-confirm.R","ed1190e456d2e16c9bd75eafab124e8c","bd518e8+dirty","735ec7272129","2026-08-22","paired rate difference current minus bootstrap; mean_se is its Monte Carlo SE; PCM; imbalanced; 199 conditional refits; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; item-wise"
"dif-conditional-bootstrap-confirm","PCM imbalanced null 0","current non-uniform item-wise Type I",200,200,0,0,0,NA,NA,NA,NA,NA,NA,0.0483333333333333,0.00620580409510148,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-confirm.R","ed1190e456d2e16c9bd75eafab124e8c","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 199 conditional refits; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; residual-ANOVA reference"
"dif-conditional-bootstrap-confirm","PCM imbalanced null 0","bootstrap non-uniform item-wise Type I",200,200,0,0,0,NA,NA,NA,NA,NA,NA,0.0408333333333333,0.00572707724195713,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-confirm.R","ed1190e456d2e16c9bd75eafab124e8c","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 199 conditional refits; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; empirical tail"
"dif-conditional-bootstrap-confirm","PCM imbalanced null 0","paired non-uniform Type I difference",200,200,0,0,0,0.0075,NA,0.00271930357787285,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-confirm.R","ed1190e456d2e16c9bd75eafab124e8c","bd518e8+dirty","735ec7272129","2026-08-22","paired rate difference current minus bootstrap; mean_se is its Monte Carlo SE; PCM; imbalanced; 199 conditional refits; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; item-wise"
"dif-conditional-bootstrap-confirm","PCM imbalanced null 0","current Holm FWER",200,200,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.0120623380818148,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-confirm.R","ed1190e456d2e16c9bd75eafab124e8c","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 199 conditional refits; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; complete item-by-term family"
"dif-conditional-bootstrap-confirm","PCM imbalanced null 0","bootstrap minimum-p FWER",200,200,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.0110397010829098,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-confirm.R","ed1190e456d2e16c9bd75eafab124e8c","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 199 conditional refits; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; complete item-by-term family"
"dif-conditional-bootstrap-confirm","PCM imbalanced null 0","paired FWER difference",200,200,0,0,0,0.005,NA,0.00500000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-confirm.R","ed1190e456d2e16c9bd75eafab124e8c","bd518e8+dirty","735ec7272129","2026-08-22","paired rate difference current minus bootstrap; mean_se is its Monte Carlo SE; PCM; imbalanced; 199 conditional refits; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; complete item-by-term family"
"dif-conditional-bootstrap-confirm","PCM imbalanced uniform 0.6","current target power",200,200,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0.0221246468898376,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-confirm.R","ed1190e456d2e16c9bd75eafab124e8c","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 199 conditional refits; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; I3 uniform group term"
