"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-conditional-bootstrap","balanced null","default uniform item-wise Type I",300,300,0,0,0,NA,NA,NA,NA,NA,NA,0.0479166666666667,0.0047387994056262,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap.R","90cf084204713d0722cc593dfaf6c9a8","bd518e8+dirty","735ec7272129","2026-08-22","conditional Rasch null; 199 bootstrap refits; HC3 uniform reference"
"dif-conditional-bootstrap","balanced null","bootstrap uniform item-wise Type I",300,300,0,0,0,NA,NA,NA,NA,NA,NA,0.0495833333333333,0.00475494569338164,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap.R","90cf084204713d0722cc593dfaf6c9a8","bd518e8+dirty","735ec7272129","2026-08-22","conditional Rasch null; 199 bootstrap refits; term-specific empirical tail"
"dif-conditional-bootstrap","balanced null","default non-uniform item-wise Type I",300,300,0,0,0,NA,NA,NA,NA,NA,NA,0.0404166666666667,0.0040815583246461,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap.R","90cf084204713d0722cc593dfaf6c9a8","bd518e8+dirty","735ec7272129","2026-08-22","conditional Rasch null; 199 bootstrap refits; residual-ANOVA reference"
"dif-conditional-bootstrap","balanced null","bootstrap non-uniform item-wise Type I",300,300,0,0,0,NA,NA,NA,NA,NA,NA,0.04,0.0042002548099166,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap.R","90cf084204713d0722cc593dfaf6c9a8","bd518e8+dirty","735ec7272129","2026-08-22","conditional Rasch null; 199 bootstrap refits; term-specific empirical tail"
"dif-conditional-bootstrap","balanced null","default Holm FWER",300,300,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0633333333333333,0.0140620318852128,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap.R","90cf084204713d0722cc593dfaf6c9a8","bd518e8+dirty","735ec7272129","2026-08-22","conditional Rasch null; 199 bootstrap refits; one family over all item-by-term tests"
"dif-conditional-bootstrap","balanced null","bootstrap minimum-p FWER",300,300,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0633333333333333,0.0140620318852128,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap.R","90cf084204713d0722cc593dfaf6c9a8","bd518e8+dirty","735ec7272129","2026-08-22","conditional Rasch null; 199 bootstrap refits; single-step family reference over all item-by-term tests"
"dif-conditional-bootstrap","imbalanced ability null","default uniform item-wise Type I",300,300,0,0,0,NA,NA,NA,NA,NA,NA,0.0475,0.00477109818872149,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap.R","90cf084204713d0722cc593dfaf6c9a8","bd518e8+dirty","735ec7272129","2026-08-22","conditional Rasch null; 199 bootstrap refits; HC3 uniform reference"
"dif-conditional-bootstrap","imbalanced ability null","bootstrap uniform item-wise Type I",300,300,0,0,0,NA,NA,NA,NA,NA,NA,0.0441666666666667,0.00458238309801031,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap.R","90cf084204713d0722cc593dfaf6c9a8","bd518e8+dirty","735ec7272129","2026-08-22","conditional Rasch null; 199 bootstrap refits; term-specific empirical tail"
"dif-conditional-bootstrap","imbalanced ability null","default non-uniform item-wise Type I",300,300,0,0,0,NA,NA,NA,NA,NA,NA,0.0445833333333333,0.00443342040215922,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap.R","90cf084204713d0722cc593dfaf6c9a8","bd518e8+dirty","735ec7272129","2026-08-22","conditional Rasch null; 199 bootstrap refits; residual-ANOVA reference"
"dif-conditional-bootstrap","imbalanced ability null","bootstrap non-uniform item-wise Type I",300,300,0,0,0,NA,NA,NA,NA,NA,NA,0.0408333333333333,0.00404619598753298,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap.R","90cf084204713d0722cc593dfaf6c9a8","bd518e8+dirty","735ec7272129","2026-08-22","conditional Rasch null; 199 bootstrap refits; term-specific empirical tail"
"dif-conditional-bootstrap","imbalanced ability null","default Holm FWER",300,300,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.0147309198626562,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap.R","90cf084204713d0722cc593dfaf6c9a8","bd518e8+dirty","735ec7272129","2026-08-22","conditional Rasch null; 199 bootstrap refits; one family over all item-by-term tests"
"dif-conditional-bootstrap","imbalanced ability null","bootstrap minimum-p FWER",300,300,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.0137113092008021,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap.R","90cf084204713d0722cc593dfaf6c9a8","bd518e8+dirty","735ec7272129","2026-08-22","conditional Rasch null; 199 bootstrap refits; single-step family reference over all item-by-term tests"
