"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-hc3-homoskedastic-local-power","2 group levels; 10 per group-by-interval cell; N=80","classical planted-item power",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2248,0.00590364226558486,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic-local-power.R","d852c0eee8ddfac3c9e606f948d58964","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; local alternative; Holm-adjusted uniform term for I3"
"dif-hc3-homoskedastic-local-power","2 group levels; 10 per group-by-interval cell; N=80","hybrid planted-item power",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1938,0.00559001896240075,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic-local-power.R","d852c0eee8ddfac3c9e606f948d58964","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; local alternative; Holm-adjusted HC3 uniform term for I3"
"dif-hc3-homoskedastic-local-power","2 group levels; 10 per group-by-interval cell; N=80","adjusted-decision disagreement",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031,0.00245108139399735,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic-local-power.R","d852c0eee8ddfac3c9e606f948d58964","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; local alternative; I3 decision differs between methods"
"dif-hc3-homoskedastic-local-power","2 group levels; 30 per group-by-interval cell; N=240","classical planted-item power",5000,5000,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2478,0.00610565573873929,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic-local-power.R","d852c0eee8ddfac3c9e606f948d58964","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; local alternative; Holm-adjusted uniform term for I3"
"dif-hc3-homoskedastic-local-power","2 group levels; 30 per group-by-interval cell; N=240","hybrid planted-item power",5000,5000,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2394,0.00603469369562366,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic-local-power.R","d852c0eee8ddfac3c9e606f948d58964","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; local alternative; Holm-adjusted HC3 uniform term for I3"
"dif-hc3-homoskedastic-local-power","2 group levels; 30 per group-by-interval cell; N=240","adjusted-decision disagreement",5000,5000,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0084,0.00129069283720024,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic-local-power.R","d852c0eee8ddfac3c9e606f948d58964","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; local alternative; I3 decision differs between methods"
"dif-hc3-homoskedastic-local-power","2 group levels; 75 per group-by-interval cell; N=600","classical planted-item power",5000,5000,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3106,0.00654412163701134,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic-local-power.R","d852c0eee8ddfac3c9e606f948d58964","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; local alternative; Holm-adjusted uniform term for I3"
"dif-hc3-homoskedastic-local-power","2 group levels; 75 per group-by-interval cell; N=600","hybrid planted-item power",5000,5000,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3064,0.00651949445892855,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic-local-power.R","d852c0eee8ddfac3c9e606f948d58964","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; local alternative; Holm-adjusted HC3 uniform term for I3"
"dif-hc3-homoskedastic-local-power","2 group levels; 75 per group-by-interval cell; N=600","adjusted-decision disagreement",5000,5000,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0042,0.000914588432028309,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic-local-power.R","d852c0eee8ddfac3c9e606f948d58964","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; local alternative; I3 decision differs between methods"
"dif-hc3-homoskedastic-local-power","2 group levels; 150 per group-by-interval cell; N=1200","classical planted-item power",5000,5000,0,0,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2952,0.00645068926549714,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic-local-power.R","d852c0eee8ddfac3c9e606f948d58964","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; local alternative; Holm-adjusted uniform term for I3"
