"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-hc3-homoskedastic","2 group levels; 10 per group-by-interval cell; N=80","classical uniform Type I",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,0.050175,0.00109080559513105,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; mean item-wise rejection"
"dif-hc3-homoskedastic","2 group levels; 10 per group-by-interval cell; N=80","hybrid uniform Type I",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,0.04315,0.0010248539237926,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; HC3 for uniform terms"
"dif-hc3-homoskedastic","2 group levels; 10 per group-by-interval cell; N=80","classical Holm FWER",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0485999999999999,0.0030409879973456,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; one family over uniform and non-uniform terms"
"dif-hc3-homoskedastic","2 group levels; 10 per group-by-interval cell; N=80","hybrid Holm FWER",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0432000000000001,0.00287519599331941,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; HC3 uniform; classical non-uniform"
"dif-hc3-homoskedastic","2 group levels; 10 per group-by-interval cell; N=80","adjusted-decision disagreement",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00079999999999999,0.000399839967987191,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; I3 decision differs between methods under the null"
"dif-hc3-homoskedastic","2 group levels; 10 per group-by-interval cell; N=80","classical planted-item power",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2166,0.00582553757176108,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; Holm-adjusted uniform term for I3"
"dif-hc3-homoskedastic","2 group levels; 10 per group-by-interval cell; N=80","hybrid planted-item power",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1882,0.00552776193409231,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; Holm-adjusted HC3 uniform term for I3"
"dif-hc3-homoskedastic","2 group levels; 10 per group-by-interval cell; N=80","adjusted-decision disagreement",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0283999999999999,0.00234918879615921,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; I3 decision differs between methods under the alternative"
"dif-hc3-homoskedastic","2 group levels; 30 per group-by-interval cell; N=240","classical uniform Type I",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,0.050125,0.0010912653421645,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; mean item-wise rejection"
"dif-hc3-homoskedastic","2 group levels; 30 per group-by-interval cell; N=240","hybrid uniform Type I",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,0.047675,0.00106771807111044,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; HC3 for uniform terms"
"dif-hc3-homoskedastic","2 group levels; 30 per group-by-interval cell; N=240","classical Holm FWER",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0468,0.00298696367570816,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; one family over uniform and non-uniform terms"
"dif-hc3-homoskedastic","2 group levels; 30 per group-by-interval cell; N=240","hybrid Holm FWER",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0444,0.00291302729132427,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; HC3 uniform; classical non-uniform"
"dif-hc3-homoskedastic","2 group levels; 30 per group-by-interval cell; N=240","adjusted-decision disagreement",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000399999999999996,0.000282786138274137,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; I3 decision differs between methods under the null"
"dif-hc3-homoskedastic","2 group levels; 30 per group-by-interval cell; N=240","classical planted-item power",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8176,0.00546132291665673,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; Holm-adjusted uniform term for I3"
"dif-hc3-homoskedastic","2 group levels; 30 per group-by-interval cell; N=240","hybrid planted-item power",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8084,0.00556577829238643,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; Holm-adjusted HC3 uniform term for I3"
"dif-hc3-homoskedastic","2 group levels; 30 per group-by-interval cell; N=240","adjusted-decision disagreement",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00920000000000006,0.00135021183523179,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; I3 decision differs between methods under the alternative"
"dif-hc3-homoskedastic","2 group levels; 75 per group-by-interval cell; N=600","classical uniform Type I",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,0.0524999999999999,0.00110124590737478,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; mean item-wise rejection"
"dif-hc3-homoskedastic","2 group levels; 75 per group-by-interval cell; N=600","hybrid uniform Type I",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,0.051475,0.0010924415594036,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; HC3 for uniform terms"
"dif-hc3-homoskedastic","2 group levels; 75 per group-by-interval cell; N=600","classical Holm FWER",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0460000000000003,0.00296256645495085,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; one family over uniform and non-uniform terms"
"dif-hc3-homoskedastic","2 group levels; 75 per group-by-interval cell; N=600","hybrid Holm FWER",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0451999999999998,0.00293792307591604,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; HC3 uniform; classical non-uniform"
"dif-hc3-homoskedastic","2 group levels; 75 per group-by-interval cell; N=600","adjusted-decision disagreement",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000200000000000009,0.000199979998999904,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; I3 decision differs between methods under the null"
"dif-hc3-homoskedastic","2 group levels; 75 per group-by-interval cell; N=600","classical planted-item power",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9996,0.000282786138274123,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; Holm-adjusted uniform term for I3"
"dif-hc3-homoskedastic","2 group levels; 75 per group-by-interval cell; N=600","hybrid planted-item power",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9996,0.000282786138274123,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; Holm-adjusted HC3 uniform term for I3"
"dif-hc3-homoskedastic","2 group levels; 75 per group-by-interval cell; N=600","adjusted-decision disagreement",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; I3 decision differs between methods under the alternative"
"dif-hc3-homoskedastic","2 group levels; 150 per group-by-interval cell; N=1200","classical uniform Type I",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,0.0512250000000001,0.00108849062346332,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; mean item-wise rejection"
"dif-hc3-homoskedastic","2 group levels; 150 per group-by-interval cell; N=1200","hybrid uniform Type I",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,0.050725,0.00108282241197496,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; HC3 for uniform terms"
"dif-hc3-homoskedastic","2 group levels; 150 per group-by-interval cell; N=1200","classical Holm FWER",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0504000000000001,0.00309385972532693,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; one family over uniform and non-uniform terms"
"dif-hc3-homoskedastic","2 group levels; 150 per group-by-interval cell; N=1200","hybrid Holm FWER",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0504000000000001,0.00309385972532693,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; HC3 uniform; classical non-uniform"
"dif-hc3-homoskedastic","2 group levels; 150 per group-by-interval cell; N=1200","adjusted-decision disagreement",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; I3 decision differs between methods under the null"
"dif-hc3-homoskedastic","2 group levels; 150 per group-by-interval cell; N=1200","classical planted-item power",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; Holm-adjusted uniform term for I3"
"dif-hc3-homoskedastic","2 group levels; 150 per group-by-interval cell; N=1200","hybrid planted-item power",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; Holm-adjusted HC3 uniform term for I3"
"dif-hc3-homoskedastic","2 group levels; 150 per group-by-interval cell; N=1200","adjusted-decision disagreement",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; I3 decision differs between methods under the alternative"
"dif-hc3-homoskedastic","3 group levels; 10 per group-by-interval cell; N=120","classical uniform Type I",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,0.04975,0.00107945381749699,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; mean item-wise rejection"
"dif-hc3-homoskedastic","3 group levels; 10 per group-by-interval cell; N=120","hybrid uniform Type I",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,0.0458,0.00105508039453291,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; HC3 for uniform terms"
"dif-hc3-homoskedastic","3 group levels; 10 per group-by-interval cell; N=120","classical Holm FWER",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.054,0.00319637294444813,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; one family over uniform and non-uniform terms"
"dif-hc3-homoskedastic","3 group levels; 10 per group-by-interval cell; N=120","hybrid Holm FWER",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0523999999999998,0.00315132480077823,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; HC3 uniform; classical non-uniform"
"dif-hc3-homoskedastic","3 group levels; 10 per group-by-interval cell; N=120","adjusted-decision disagreement",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00200000000000012,0.000631822759957271,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; I3 decision differs between methods under the null"
"dif-hc3-homoskedastic","3 group levels; 10 per group-by-interval cell; N=120","classical planted-item power",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2348,0.00599448012758404,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; Holm-adjusted uniform term for I3"
"dif-hc3-homoskedastic","3 group levels; 10 per group-by-interval cell; N=120","hybrid planted-item power",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219,0.00584874345479437,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; Holm-adjusted HC3 uniform term for I3"
"dif-hc3-homoskedastic","3 group levels; 10 per group-by-interval cell; N=120","adjusted-decision disagreement",5000,5000,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0442,0.00290676314824583,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; I3 decision differs between methods under the alternative"
"dif-hc3-homoskedastic","3 group levels; 50 per group-by-interval cell; N=600","classical uniform Type I",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,0.052,0.00112836370064277,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; mean item-wise rejection"
"dif-hc3-homoskedastic","3 group levels; 50 per group-by-interval cell; N=600","hybrid uniform Type I",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,0.0511,0.00111097022956075,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; HC3 for uniform terms"
"dif-hc3-homoskedastic","3 group levels; 50 per group-by-interval cell; N=600","classical Holm FWER",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0444,0.00291302729132427,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; one family over uniform and non-uniform terms"
"dif-hc3-homoskedastic","3 group levels; 50 per group-by-interval cell; N=600","hybrid Holm FWER",5000,5000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0436,0.00288787257336608,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3-homoskedastic.R","d0c782e766a943c2b814b1744adabd06","bd518e8+dirty","735ec7272129","2026-08-22","balanced cells; iid N(0,1) errors; HC3 uniform; classical non-uniform"
