"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-hc3","balanced independent persons","classical uniform Type I",500,500,0,0,0,NA,NA,NA,NA,NA,NA,0.05425,0.00366787153034648,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3.R","bb60a2a9ad355e1fc7ec6eab3ee5d24a","bd518e8+dirty","735ec7272129","2026-08-22","mean item-wise rejection; MCSE clustered by replicate"
"dif-hc3","balanced independent persons","HC3 uniform Type I",500,500,0,0,0,NA,NA,NA,NA,NA,NA,0.052,0.00356966174447103,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3.R","bb60a2a9ad355e1fc7ec6eab3ee5d24a","bd518e8+dirty","735ec7272129","2026-08-22","mean item-wise rejection; MCSE clustered by replicate"
"dif-hc3","balanced independent persons","classical Holm FWER",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.042,0.00897061870775924,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3.R","bb60a2a9ad355e1fc7ec6eab3ee5d24a","bd518e8+dirty","735ec7272129","2026-08-22","one family over uniform and non-uniform item terms"
"dif-hc3","balanced independent persons","HC3 Holm FWER",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.036,0.0083311463797007,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3.R","bb60a2a9ad355e1fc7ec6eab3ee5d24a","bd518e8+dirty","735ec7272129","2026-08-22","diagnostic only: HC3 applied to uniform and class-interval interaction terms"
"dif-hc3","balanced independent persons","hybrid Holm FWER",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.00876356092008266,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3.R","bb60a2a9ad355e1fc7ec6eab3ee5d24a","bd518e8+dirty","735ec7272129","2026-08-22","public method: HC3 uniform terms and residual-ANOVA non-uniform terms"
"dif-hc3","1:4 groups; ability gap 0.8","classical uniform Type I",500,500,0,0,0,NA,NA,NA,NA,NA,NA,0.04875,0.00352977245543877,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3.R","bb60a2a9ad355e1fc7ec6eab3ee5d24a","bd518e8+dirty","735ec7272129","2026-08-22","mean item-wise rejection; MCSE clustered by replicate"
"dif-hc3","1:4 groups; ability gap 0.8","HC3 uniform Type I",500,500,0,0,0,NA,NA,NA,NA,NA,NA,0.045,0.00342395194092845,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3.R","bb60a2a9ad355e1fc7ec6eab3ee5d24a","bd518e8+dirty","735ec7272129","2026-08-22","mean item-wise rejection; MCSE clustered by replicate"
"dif-hc3","1:4 groups; ability gap 0.8","classical Holm FWER",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.0106207344378814,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3.R","bb60a2a9ad355e1fc7ec6eab3ee5d24a","bd518e8+dirty","735ec7272129","2026-08-22","one family over uniform and non-uniform item terms"
"dif-hc3","1:4 groups; ability gap 0.8","HC3 Holm FWER",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.0185256578830551,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3.R","bb60a2a9ad355e1fc7ec6eab3ee5d24a","bd518e8+dirty","735ec7272129","2026-08-22","diagnostic only: HC3 applied to uniform and class-interval interaction terms"
"dif-hc3","1:4 groups; ability gap 0.8","hybrid Holm FWER",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.064,0.0109456840809517,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3.R","bb60a2a9ad355e1fc7ec6eab3ee5d24a","bd518e8+dirty","735ec7272129","2026-08-22","public method: HC3 uniform terms and residual-ANOVA non-uniform terms"
"dif-hc3","equal groups; 1 versus 4 observations per person","classical uniform Type I",500,500,0,0,0,NA,NA,NA,NA,NA,NA,0.04325,0.00347786804411331,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3.R","bb60a2a9ad355e1fc7ec6eab3ee5d24a","bd518e8+dirty","735ec7272129","2026-08-22","mean item-wise rejection; MCSE clustered by replicate"
"dif-hc3","equal groups; 1 versus 4 observations per person","HC3 uniform Type I",500,500,0,0,0,NA,NA,NA,NA,NA,NA,0.04975,0.00377702353892946,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-hc3.R","bb60a2a9ad355e1fc7ec6eab3ee5d24a","bd518e8+dirty","735ec7272129","2026-08-22","mean item-wise rejection; MCSE clustered by replicate"
