"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-score-purification-refined","PCM imbalanced null 0","full Holm FWER",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.00876356092008266,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification-refined.R","cf4ef5731866d07d55ab3abf50eb7a0a","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; final reported family; base helper md5 afd7a676ac870245ace7844f5e452ed7"
"dif-score-purification-refined","PCM imbalanced null 0","oracle ci Holm FWER",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.106,0.0137669168661687,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification-refined.R","cf4ef5731866d07d55ab3abf50eb7a0a","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; final reported family; base helper md5 afd7a676ac870245ace7844f5e452ed7"
"dif-score-purification-refined","PCM imbalanced null 0","oracle recal Holm FWER",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0840000000000002,0.0124051602166195,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification-refined.R","cf4ef5731866d07d55ab3abf50eb7a0a","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; final reported family; base helper md5 afd7a676ac870245ace7844f5e452ed7"
"dif-score-purification-refined","PCM imbalanced null 0","pipeline ci Holm FWER",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.014,0.00525433154644813,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification-refined.R","cf4ef5731866d07d55ab3abf50eb7a0a","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; final reported family; base helper md5 afd7a676ac870245ace7844f5e452ed7"
"dif-score-purification-refined","PCM imbalanced null 0","pipeline recal Holm FWER",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.012,0.00486949689393062,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification-refined.R","cf4ef5731866d07d55ab3abf50eb7a0a","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; final reported family; base helper md5 afd7a676ac870245ace7844f5e452ed7"
"dif-score-purification-refined","PCM imbalanced null 0","pipeline ci selected target first",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.00282276460230037,0,0,0,0,"tools/simval/studies/dif-score-purification-refined.R","cf4ef5731866d07d55ab3abf50eb7a0a","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; selection diagnostic; base helper md5 afd7a676ac870245ace7844f5e452ed7"
"dif-score-purification-refined","PCM imbalanced null 0","pipeline ci selected wrong item first",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.036,0.00833114637970069,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification-refined.R","cf4ef5731866d07d55ab3abf50eb7a0a","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; selection diagnostic; base helper md5 afd7a676ac870245ace7844f5e452ed7"
"dif-score-purification-refined","PCM imbalanced null 0","pipeline ci excluded target",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.00282276460230037,0,0,0,0,"tools/simval/studies/dif-score-purification-refined.R","cf4ef5731866d07d55ab3abf50eb7a0a","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; selection diagnostic; base helper md5 afd7a676ac870245ace7844f5e452ed7"
"dif-score-purification-refined","PCM imbalanced null 0","pipeline ci excluded any wrong item",500,500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.036,0.00833114637970069,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification-refined.R","cf4ef5731866d07d55ab3abf50eb7a0a","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; selection diagnostic; base helper md5 afd7a676ac870245ace7844f5e452ed7"
"dif-score-purification-refined","PCM imbalanced null 0","pipeline ci mean anchors retained",500,500,0,0,0,NA,NA,5.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification-refined.R","cf4ef5731866d07d55ab3abf50eb7a0a","bd518e8+dirty","735ec7272129","2026-08-22","mean_se stores the mean count"
