"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-score-purification","PCM imbalanced null 0","full Holm FWER",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.0255147016443461,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification.R","afd7a676ac870245ace7844f5e452ed7","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; anchor calibration and person measures refitted; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; public analysis"
"dif-score-purification","PCM imbalanced null 0","full uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.055,0.0097829990650654,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification.R","afd7a676ac870245ace7844f5e452ed7","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; anchor calibration and person measures refitted; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; full matching"
"dif-score-purification","PCM imbalanced null 0","full non-uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.055,0.0100657211855589,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification.R","afd7a676ac870245ace7844f5e452ed7","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; anchor calibration and person measures refitted; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; full matching"
"dif-score-purification","PCM imbalanced null 0","loo Holm FWER",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.047370877129308,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification.R","afd7a676ac870245ace7844f5e452ed7","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; anchor calibration and person measures refitted; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; loo matching"
"dif-score-purification","PCM imbalanced null 0","loo uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.211666666666667,0.0141847280389806,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification.R","afd7a676ac870245ace7844f5e452ed7","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; anchor calibration and person measures refitted; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; loo matching"
"dif-score-purification","PCM imbalanced null 0","loo non-uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.0716666666666667,0.0103948424576526,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification.R","afd7a676ac870245ace7844f5e452ed7","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; anchor calibration and person measures refitted; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; loo matching"
"dif-score-purification","PCM imbalanced null 0","oracle Holm FWER",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.0357071421427143,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification.R","afd7a676ac870245ace7844f5e452ed7","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; anchor calibration and person measures refitted; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; oracle matching"
"dif-score-purification","PCM imbalanced null 0","oracle uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.0833333333333333,0.0124225998749988,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification.R","afd7a676ac870245ace7844f5e452ed7","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; anchor calibration and person measures refitted; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; oracle matching"
"dif-score-purification","PCM imbalanced null 0","oracle non-uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.0683333333333333,0.0111350751676807,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification.R","afd7a676ac870245ace7844f5e452ed7","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; anchor calibration and person measures refitted; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; oracle matching"
"dif-score-purification","PCM imbalanced null 0","iterative Holm FWER",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.017058722109232,NA,NA,0,0,0,0,"tools/simval/studies/dif-score-purification.R","afd7a676ac870245ace7844f5e452ed7","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; anchor calibration and person measures refitted; helper md5 813c7f6af9cbb06cac9a2b8c24ab07e5; iterative matching"
