"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dimensionality-test bootstrap","dichotomous, null, 400 persons x 30 items, B = 99","mean significant person comparisons, automatic split",100,100,0,0,0,9900,9900,0,0,0.0625553547145325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dimensionality-bootstrap.R","abae964531ee3fc544ecc0ba226c89d6","9869bef+dirty","17a08ef1fa4c","2026-09-03","descriptive rate, not a rejection probability"
"dimensionality-test bootstrap","dichotomous, null, 400 persons x 30 items, B = 99","fixed-split binomial decision",100,100,0,0,0,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dimensionality-bootstrap.R","abae964531ee3fc544ecc0ba226c89d6","9869bef+dirty","17a08ef1fa4c","2026-09-03",""
"dimensionality-test bootstrap","dichotomous, null, 400 persons x 30 items, B = 99","automatic-split uncalibrated binomial decision",100,100,0,0,0,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,0.15,0.0357071421427143,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dimensionality-bootstrap.R","abae964531ee3fc544ecc0ba226c89d6","9869bef+dirty","17a08ef1fa4c","2026-09-03","descriptive benchmark; the public inferential verdict is withheld"
"dimensionality-test bootstrap","dichotomous, null, 400 persons x 30 items, B = 99","automatic-split parametric-bootstrap decision",100,100,0,0,0,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,0.05,0.0217944947177034,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dimensionality-bootstrap.R","abae964531ee3fc544ecc0ba226c89d6","9869bef+dirty","17a08ef1fa4c","2026-09-03",""
"dimensionality-test bootstrap","PCM, null, 400 persons x 20 items, B = 99","mean significant person comparisons, automatic split",100,100,0,0,0,9900,9899,1,0,0.0716357315971722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dimensionality-bootstrap.R","abae964531ee3fc544ecc0ba226c89d6","9869bef+dirty","17a08ef1fa4c","2026-09-03","descriptive rate, not a rejection probability"
"dimensionality-test bootstrap","PCM, null, 400 persons x 20 items, B = 99","fixed-split binomial decision",100,100,0,0,0,9900,9899,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dimensionality-bootstrap.R","abae964531ee3fc544ecc0ba226c89d6","9869bef+dirty","17a08ef1fa4c","2026-09-03",""
"dimensionality-test bootstrap","PCM, null, 400 persons x 20 items, B = 99","automatic-split uncalibrated binomial decision",100,100,0,0,0,9900,9899,1,0,NA,NA,NA,NA,NA,NA,NA,0.41,0.0491833305094318,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dimensionality-bootstrap.R","abae964531ee3fc544ecc0ba226c89d6","9869bef+dirty","17a08ef1fa4c","2026-09-03","descriptive benchmark; the public inferential verdict is withheld"
"dimensionality-test bootstrap","PCM, null, 400 persons x 20 items, B = 99","automatic-split parametric-bootstrap decision",100,100,0,0,0,9900,9899,1,0,NA,NA,NA,NA,NA,NA,NA,0.09,0.0286181760425084,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dimensionality-bootstrap.R","abae964531ee3fc544ecc0ba226c89d6","9869bef+dirty","17a08ef1fa4c","2026-09-03",""
"dimensionality-test bootstrap","PCM, second dimension, 400 persons x 20 items, B = 99","mean significant person comparisons, automatic split",100,100,0,0,0,9900,9898,2,0,0.273874388569546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/dimensionality-bootstrap.R","abae964531ee3fc544ecc0ba226c89d6","9869bef+dirty","17a08ef1fa4c","2026-09-03","descriptive rate, not a rejection probability"
"dimensionality-test bootstrap","PCM, second dimension, 400 persons x 20 items, B = 99","fixed-split binomial decision",100,100,0,0,0,9900,9898,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,"tools/simval/studies/dimensionality-bootstrap.R","abae964531ee3fc544ecc0ba226c89d6","9869bef+dirty","17a08ef1fa4c","2026-09-03",""
"dimensionality-test bootstrap","PCM, second dimension, 400 persons x 20 items, B = 99","automatic-split uncalibrated binomial decision",100,100,0,0,0,9900,9898,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,"tools/simval/studies/dimensionality-bootstrap.R","abae964531ee3fc544ecc0ba226c89d6","9869bef+dirty","17a08ef1fa4c","2026-09-03","descriptive benchmark; the public inferential verdict is withheld"
"dimensionality-test bootstrap","PCM, second dimension, 400 persons x 20 items, B = 99","automatic-split parametric-bootstrap decision",100,100,0,0,0,9900,9898,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,"tools/simval/studies/dimensionality-bootstrap.R","abae964531ee3fc544ecc0ba226c89d6","9869bef+dirty","17a08ef1fa4c","2026-09-03",""
