"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","executed","notes"
"equating-multiplicity","null k=5","familywise_flag",4000,4000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05325,0.00355015624656155,NA,NA,0,0,0,0,"tools/simval/studies/equating-multiplicity.R","972c5628cac57ed5020d1a92134fa2e4","0a10d32+dirty","2026-08-11","BH-adjusted alpha=0.05 (hard-coded in equate_tests); N=500/form; anchors truth identical both forms"
"equating-multiplicity","null k=5","per_item_flag",4000,4000,0,0,NA,NA,NA,NA,NA,NA,NA,0.0125,0.000883817166158121,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/equating-multiplicity.R","972c5628cac57ed5020d1a92134fa2e4","0a10d32+dirty","2026-08-11","pooled over 5 anchors x 4000 replicates; MC SE from per-replicate proportions"
"equating-multiplicity","shift inference: null (k=5)","shift_fitfit",4000,NA,NA,NA,NA,0.000161517930526329,0.0545478381022861,0.0544747581815775,1.00134153731284,0.947,0.00354228033899069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/equating-multiplicity.R","972c5628cac57ed5020d1a92134fa2e4","0a10d32+dirty","2026-08-11","reference = a second live rasch() fit, independent=TRUE"
"equating-multiplicity","shift inference: null (k=5)","shift_bankfixed",4000,NA,NA,NA,NA,0.000725048756412302,0.0381284470956561,0.0378920948077067,1.00623750914667,0.94625,0.00356584272998684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/equating-multiplicity.R","972c5628cac57ed5020d1a92134fa2e4","0a10d32+dirty","2026-08-11","reference = fixed bank (se=0) at the TRUE anchor locations"
"equating-multiplicity","shift inference: null (k=5)","shift_bankcov",4000,NA,NA,NA,NA,0.000161517930526329,0.0545478381022861,0.0544747581815775,1.00134153731284,0.947,0.00354228033899069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/equating-multiplicity.R","972c5628cac57ed5020d1a92134fa2e4","0a10d32+dirty","2026-08-11","reference = bank carrying attr(,'cov_location') from the second fit's own .equate_loc_cov()"
"equating-multiplicity","drift k=5 delta=0.8","detect_drifted_anchor",1500,1500,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986,0.00303358973275337,0,0,0,0,"tools/simval/studies/equating-multiplicity.R","972c5628cac57ed5020d1a92134fa2e4","0a10d32+dirty","2026-08-11","anchor A3 drifts +0.8 logits in form 1 only; N=500/form"
"equating-multiplicity","drift k=5 delta=0.8","false_flag_clean_anchors",1500,1500,0,0,0.8,NA,NA,NA,NA,NA,NA,0.1545,0.00436708558574611,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/equating-multiplicity.R","972c5628cac57ed5020d1a92134fa2e4","0a10d32+dirty","2026-08-11","pooled over the 4 undrifted anchors; MC SE from per-replicate proportions"
"equating-multiplicity","shift inference: drift (k=5, delta=0.8)","shift_fitfit",1500,NA,NA,NA,0.8,0.105999989826199,0.0541919297316803,0.0546716953144947,0.991224607540436,0.501333333333333,0.0129098985852516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/equating-multiplicity.R","972c5628cac57ed5020d1a92134fa2e4","0a10d32+dirty","2026-08-11","truth = 0: form 2 / bank never drift, only form 1's A3 does; a single-anchor drift is expected to pull the precision-weighted shift off 0 -- this is documented package behaviour, not a defect"
"equating-multiplicity","shift inference: drift (k=5, delta=0.8)","shift_bankfixed",1500,NA,NA,NA,0.8,0.0987003981296038,0.037426038408655,0.0381802565908514,0.98024585873587,0.272,0.0114895894907811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/equating-multiplicity.R","972c5628cac57ed5020d1a92134fa2e4","0a10d32+dirty","2026-08-11","truth = 0: form 2 / bank never drift, only form 1's A3 does; a single-anchor drift is expected to pull the precision-weighted shift off 0 -- this is documented package behaviour, not a defect"
"equating-multiplicity","shift inference: drift (k=5, delta=0.8)","shift_bankcov",1500,NA,NA,NA,0.8,0.105999989826199,0.0541919297316803,0.0546716953144947,0.991224607540436,0.501333333333333,0.0129098985852516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/equating-multiplicity.R","972c5628cac57ed5020d1a92134fa2e4","0a10d32+dirty","2026-08-11","truth = 0: form 2 / bank never drift, only form 1's A3 does; a single-anchor drift is expected to pull the precision-weighted shift off 0 -- this is documented package behaviour, not a defect"
"equating-multiplicity","contamination k=5 (2 of 5 drift +0.6)","detect_both_drifted",1500,1500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458,0.0128643175748528,0,0,0,0,"tools/simval/studies/equating-multiplicity.R","972c5628cac57ed5020d1a92134fa2e4","0a10d32+dirty","2026-08-11","A2 and A4 drift +0.6 logits in form 1 only; N=500/form"
"equating-multiplicity","contamination k=5 (2 of 5 drift +0.6)","detect_at_least_one_drifted",1500,1500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.878,0.00845048322089729,0,0,0,0,"tools/simval/studies/equating-multiplicity.R","972c5628cac57ed5020d1a92134fa2e4","0a10d32+dirty","2026-08-11",""
"equating-multiplicity","contamination k=5 (2 of 5 drift +0.6)","false_flag_clean_anchors",1500,1500,0,0,NA,NA,NA,NA,NA,NA,NA,0.371555555555556,0.00686704041639597,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/equating-multiplicity.R","972c5628cac57ed5020d1a92134fa2e4","0a10d32+dirty","2026-08-11","pooled over the 3 undrifted anchors; MC SE from per-replicate proportions"
