"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"explanatory-models","LLTM","coefficient",1000,1000,0,0,0.7,-0.000511034388386576,0.0626857085047096,0.0605860217837967,1.03465628967034,0.945,0.00720936890441875,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-models.R","e72c33409a15c6ecc04bc5fb91f413ca","bd518e8+dirty","dd5f1154d99f","2026-08-23","600 persons, 10 items; fixed balanced predictor design"
"explanatory-models","LLTM","global_kent_type1",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.06,0.00750999334220743,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-models.R","e72c33409a15c6ecc04bc5fb91f413ca","bd518e8+dirty","dd5f1154d99f","2026-08-23","600 persons, 10 items; fixed balanced predictor design Kent comparison with free calibration; nominal alpha=.05"
"explanatory-models","LPCM","coefficient",1000,1000,0,0,0.4,-0.000270022318466292,0.108432988488587,0.109692909825668,0.988514104156012,0.955,0.00655553201502365,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-models.R","e72c33409a15c6ecc04bc5fb91f413ca","bd518e8+dirty","dd5f1154d99f","2026-08-23","600 persons, 10 items; fixed balanced predictor design"
"explanatory-models","LPCM","global_kent_type1",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.056,0.00727076337120113,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-models.R","e72c33409a15c6ecc04bc5fb91f413ca","bd518e8+dirty","dd5f1154d99f","2026-08-23","600 persons, 10 items; fixed balanced predictor design Kent comparison with free calibration; nominal alpha=.05"
"explanatory-models","dichotomous_CJ_independent","coefficient",1000,1000,0,0,0.8,0.00293227864043348,0.0987459913818952,0.099532567987213,0.992097294169896,0.949,0.00695693898205238,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-models.R","e72c33409a15c6ecc04bc5fb91f413ca","bd518e8+dirty","dd5f1154d99f","2026-08-23","8 objects, all pairs; fixed balanced object-predictor design"
"explanatory-models","dichotomous_CJ_independent","global_kent_type1",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.042,0.00634318531969546,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-models.R","e72c33409a15c6ecc04bc5fb91f413ca","bd518e8+dirty","dd5f1154d99f","2026-08-23","8 objects, all pairs; fixed balanced object-predictor design Kent comparison with free calibration; nominal alpha=.05"
"explanatory-models","ordered_CJ_independent","coefficient",1000,1000,0,0,0.8,0.00248058177674985,0.0790482666093529,0.0775992633939544,1.01867289909754,0.943,0.00733150734842434,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-models.R","e72c33409a15c6ecc04bc5fb91f413ca","bd518e8+dirty","dd5f1154d99f","2026-08-23","8 objects, all pairs; fixed balanced object-predictor design"
"explanatory-models","ordered_CJ_independent","global_kent_type1",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.052,0.00702111102319284,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-models.R","e72c33409a15c6ecc04bc5fb91f413ca","bd518e8+dirty","dd5f1154d99f","2026-08-23","8 objects, all pairs; fixed balanced object-predictor design Kent comparison with free calibration; nominal alpha=.05"
"explanatory-models","dichotomous_CJ_judge_clustered","coefficient",1000,1000,0,0,0.8,0.00456563686673517,0.122532127412125,0.119866740793159,1.02223624836488,0.938,0.00762600813007697,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-models.R","e72c33409a15c6ecc04bc5fb91f413ca","bd518e8+dirty","dd5f1154d99f","2026-08-23","8 objects, all pairs; fixed balanced object-predictor design"
"explanatory-models","dichotomous_CJ_judge_clustered","global_kent_type1",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.053,0.00708456067798138,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-models.R","e72c33409a15c6ecc04bc5fb91f413ca","bd518e8+dirty","dd5f1154d99f","2026-08-23","8 objects, all pairs; fixed balanced object-predictor design Kent comparison with free calibration; nominal alpha=.05"
