"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"fit-residual-screens","across frames | null, unit ratio only, N = 500 | fit_resid","type I error",200,200,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0195,0.00977746132694986,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-screens.R","b586aa47f4f6150514f5ba67c60e99a9","ac24e05","59a3642a2a62","2026-08-19","flagged 2.0% of sound items"
"fit-residual-screens","across frames | null, unit ratio only, N = 500 | infit_z","type I error",200,200,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0305,0.0121593071348659,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-screens.R","b586aa47f4f6150514f5ba67c60e99a9","ac24e05","59a3642a2a62","2026-08-19","flagged 3.0% of sound items"
"fit-residual-screens","across frames | 2 items 1.8x steeper in frame 2, N = 500 | fit_resid","power",200,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.0353553390593274,0,0,NA,NA,"tools/simval/studies/fit-residual-screens.R","b586aa47f4f6150514f5ba67c60e99a9","ac24e05","59a3642a2a62","2026-08-19","flagged 50% of planted, 1.4% of sound items"
"fit-residual-screens","across frames | 2 items 1.8x steeper in frame 2, N = 500 | fit_resid","power",200,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.0353553390593274,0,0,NA,NA,"tools/simval/studies/fit-residual-screens.R","b586aa47f4f6150514f5ba67c60e99a9","ac24e05","59a3642a2a62","2026-08-19","planted items are the largest departures 78% of the time"
"fit-residual-screens","across frames | 2 items 1.8x steeper in frame 2, N = 500 | infit_z","power",200,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6725,0.0331846161647231,0,0,NA,NA,"tools/simval/studies/fit-residual-screens.R","b586aa47f4f6150514f5ba67c60e99a9","ac24e05","59a3642a2a62","2026-08-19","flagged 67% of planted, 2.9% of sound items"
"fit-residual-screens","across frames | 2 items 1.8x steeper in frame 2, N = 500 | infit_z","power",200,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6725,0.0331846161647231,0,0,NA,NA,"tools/simval/studies/fit-residual-screens.R","b586aa47f4f6150514f5ba67c60e99a9","ac24e05","59a3642a2a62","2026-08-19","planted items are the largest departures 80% of the time"
"fit-residual-screens","across frames | null, unit ratio only, N = 1000 | fit_resid","type I error",200,200,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0285,0.011765999745028,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-screens.R","b586aa47f4f6150514f5ba67c60e99a9","ac24e05","59a3642a2a62","2026-08-19","flagged 2.8% of sound items"
"fit-residual-screens","across frames | null, unit ratio only, N = 1000 | infit_z","type I error",200,200,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0435,0.0144235484538306,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-screens.R","b586aa47f4f6150514f5ba67c60e99a9","ac24e05","59a3642a2a62","2026-08-19","flagged 4.3% of sound items"
"fit-residual-screens","across frames | 2 items 1.8x steeper in frame 2, N = 1000 | fit_resid","power",200,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0.0252487623459052,0,0,NA,NA,"tools/simval/studies/fit-residual-screens.R","b586aa47f4f6150514f5ba67c60e99a9","ac24e05","59a3642a2a62","2026-08-19","flagged 85% of planted, 1.2% of sound items"
"fit-residual-screens","across frames | 2 items 1.8x steeper in frame 2, N = 1000 | fit_resid","power",200,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0.0252487623459052,0,0,NA,NA,"tools/simval/studies/fit-residual-screens.R","b586aa47f4f6150514f5ba67c60e99a9","ac24e05","59a3642a2a62","2026-08-19","planted items are the largest departures 94% of the time"
