"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"fit-residual-threshold-n","sound items fit exactly, N = 500","sound items clearing |fit_resid| > 2",100,100,0,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","0.8 of 14 sound items flagged"
"fit-residual-threshold-n","sound items fit exactly, N = 500","sound items clearing |fit_resid| > 2",100,100,0,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","1.8 of 2 planted items flagged"
"fit-residual-threshold-n","sound items fit exactly, N = 500","sound items clearing |fit_resid| > 2",100,100,0,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","planted are the two largest departures in 80% of replicates"
"fit-residual-threshold-n","sound items fit exactly, N = 500","sound items clearing |fit_resid| > 2",100,100,0,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","the resulting drop is refused in 1% of replicates"
"fit-residual-threshold-n","sound items fit exactly, N = 2000","sound items clearing |fit_resid| > 2",100,100,0,NA,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","3.1 of 14 sound items flagged"
"fit-residual-threshold-n","sound items fit exactly, N = 2000","sound items clearing |fit_resid| > 2",100,100,0,NA,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","2.0 of 2 planted items flagged"
"fit-residual-threshold-n","sound items fit exactly, N = 2000","sound items clearing |fit_resid| > 2",100,100,0,NA,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","planted are the two largest departures in 100% of replicates"
"fit-residual-threshold-n","sound items fit exactly, N = 2000","sound items clearing |fit_resid| > 2",100,100,0,NA,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","the resulting drop is refused in 61% of replicates"
"fit-residual-threshold-n","sound items fit exactly, N = 6000","sound items clearing |fit_resid| > 2",100,100,0,NA,6.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","7.0 of 14 sound items flagged"
"fit-residual-threshold-n","sound items fit exactly, N = 6000","sound items clearing |fit_resid| > 2",100,100,0,NA,6.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","2.0 of 2 planted items flagged"
"fit-residual-threshold-n","sound items fit exactly, N = 6000","sound items clearing |fit_resid| > 2",100,100,0,NA,6.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","planted are the two largest departures in 100% of replicates"
"fit-residual-threshold-n","sound items fit exactly, N = 6000","sound items clearing |fit_resid| > 2",100,100,0,NA,6.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","the resulting drop is refused in 100% of replicates"
"fit-residual-threshold-n","every item departs a little, N = 500","sound items clearing |fit_resid| > 2",100,100,0,NA,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","1.9 of 14 sound items flagged"
"fit-residual-threshold-n","every item departs a little, N = 500","sound items clearing |fit_resid| > 2",100,100,0,NA,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","1.5 of 2 planted items flagged"
"fit-residual-threshold-n","every item departs a little, N = 500","sound items clearing |fit_resid| > 2",100,100,0,NA,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","planted are the two largest departures in 56% of replicates"
"fit-residual-threshold-n","every item departs a little, N = 500","sound items clearing |fit_resid| > 2",100,100,0,NA,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","the resulting drop is refused in 3% of replicates"
"fit-residual-threshold-n","every item departs a little, N = 2000","sound items clearing |fit_resid| > 2",100,100,0,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","5.2 of 14 sound items flagged"
"fit-residual-threshold-n","every item departs a little, N = 2000","sound items clearing |fit_resid| > 2",100,100,0,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","1.9 of 2 planted items flagged"
"fit-residual-threshold-n","every item departs a little, N = 2000","sound items clearing |fit_resid| > 2",100,100,0,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","planted are the two largest departures in 75% of replicates"
"fit-residual-threshold-n","every item departs a little, N = 2000","sound items clearing |fit_resid| > 2",100,100,0,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","the resulting drop is refused in 64% of replicates"
"fit-residual-threshold-n","every item departs a little, N = 6000","sound items clearing |fit_resid| > 2",100,100,0,NA,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","8.1 of 14 sound items flagged"
"fit-residual-threshold-n","every item departs a little, N = 6000","sound items clearing |fit_resid| > 2",100,100,0,NA,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","2.0 of 2 planted items flagged"
"fit-residual-threshold-n","every item departs a little, N = 6000","sound items clearing |fit_resid| > 2",100,100,0,NA,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","planted are the two largest departures in 78% of replicates"
"fit-residual-threshold-n","every item departs a little, N = 6000","sound items clearing |fit_resid| > 2",100,100,0,NA,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/fit-residual-threshold-n.R","798277a82b1d77f7aaa48ca81ec1cc90","b88cc9e","65cbbd773d5b","2026-08-19","the resulting drop is refused in 96% of replicates"
