"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","location raw per-item type I error",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.0305,0.00144589342757407,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","location raw channel familywise type I error",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2065,0.0090514570650255,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","location combined Holm per-item type I error",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.00118749999999999,0.000285248760387576,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","location combined Holm channel familywise type I error",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,0.00211175282644537,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","discrimination raw per-item type I error",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.070625,0.00179404612210613,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","discrimination raw channel familywise type I error",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4845,0.0111749664429026,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","discrimination combined Holm per-item type I error",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.0079375,0.000704336454967285,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","discrimination combined Holm channel familywise type I error",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0615,0.00537204569973116,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","combined Holm familywise type I error",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0705,0.00572406105837455,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","discrimination raw type I error I01",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.005,0.00157718102955875,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","discrimination raw type I error I02",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.039,0.00432891441356837,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","discrimination raw type I error I03",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.09,0.00639921870231046,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","discrimination raw type I error I04",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.156,0.00811369213120636,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","discrimination raw type I error I05",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.1475,0.00792917870904673,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","discrimination raw type I error I06",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.0865,0.00628560856242258,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","discrimination raw type I error I07",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.037,0.00422084114839685,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
"frame-invariance-conditional-topup","null: unit ratio only | N = 2000","discrimination raw type I error I08",2000,2000,0,0,NA,NA,NA,NA,NA,NA,NA,0.004,0.00141138230115019,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-conditional-topup.R","92f9eb3378c50de3c409c11c0085afe6","abd6a9a+dirty","3a949d596bce","2026-08-21",""
