"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"frame-invariance-power","null: unit ratio only | N = 500","location SE calibration",1000,1000,0,0,NA,NA,0.140635832314477,0.154081336439035,0.91273762004344,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-power.R","ad3212eea0966688f21af493cacf2725","abd6a9a+dirty","197ec319d87f","2026-08-21",""
"frame-invariance-power","null: unit ratio only | N = 500","location per-item coverage",1000,1000,0,0,NA,NA,NA,NA,NA,0.96625,0.00213377376741081,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-power.R","ad3212eea0966688f21af493cacf2725","abd6a9a+dirty","197ec319d87f","2026-08-21",""
"frame-invariance-power","null: unit ratio only | N = 500","location raw per-item type I error",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.03375,0.00213377376741081,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-power.R","ad3212eea0966688f21af493cacf2725","abd6a9a+dirty","197ec319d87f","2026-08-21",""
"frame-invariance-power","null: unit ratio only | N = 500","location Holm familywise type I error",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,0.00431729081716764,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-power.R","ad3212eea0966688f21af493cacf2725","abd6a9a+dirty","197ec319d87f","2026-08-21",""
"frame-invariance-power","2 items shifted 1 logit | N = 500","raw per-planted-item power",400,400,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99625,0.00215963046825112,0,0,0,0,"tools/simval/studies/frame-invariance-power.R","ad3212eea0966688f21af493cacf2725","abd6a9a+dirty","197ec319d87f","2026-08-21",""
"frame-invariance-power","2 items shifted 1 logit | N = 500","raw any-planted-item power",400,400,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,"tools/simval/studies/frame-invariance-power.R","ad3212eea0966688f21af493cacf2725","abd6a9a+dirty","197ec319d87f","2026-08-21",""
"frame-invariance-power","2 items shifted 1 logit | N = 500","raw per-unplanted-item relative-contrast flag rate",400,400,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.358333333333333,0.0070676210323227,0,0,0,0,"tools/simval/studies/frame-invariance-power.R","ad3212eea0966688f21af493cacf2725","abd6a9a+dirty","197ec319d87f","2026-08-21","Separate frame origins centre the item differences; unplanted items therefore have non-zero relative contrasts under concentrated DIF."
"frame-invariance-power","2 items shifted 1 logit | N = 500","Holm per-planted-item power",400,400,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95125,0.00742522245938995,0,0,0,0,"tools/simval/studies/frame-invariance-power.R","ad3212eea0966688f21af493cacf2725","abd6a9a+dirty","197ec319d87f","2026-08-21",""
"frame-invariance-power","2 items shifted 1 logit | N = 500","Holm any-planted-item power",400,400,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,"tools/simval/studies/frame-invariance-power.R","ad3212eea0966688f21af493cacf2725","abd6a9a+dirty","197ec319d87f","2026-08-21",""
"frame-invariance-power","2 items shifted 1 logit | N = 500","Holm per-unplanted-item relative-contrast flag rate",400,400,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181666666666667,0.00691526870352803,0,0,0,0,"tools/simval/studies/frame-invariance-power.R","ad3212eea0966688f21af493cacf2725","abd6a9a+dirty","197ec319d87f","2026-08-21","Separate frame origins centre the item differences; unplanted items therefore have non-zero relative contrasts under concentrated DIF."
"frame-invariance-power","null: unit ratio only | N = 1000","location SE calibration",1000,1000,0,0,NA,NA,0.0996996016599081,0.108905420535133,0.915469598942001,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-power.R","ad3212eea0966688f21af493cacf2725","abd6a9a+dirty","197ec319d87f","2026-08-21",""
"frame-invariance-power","null: unit ratio only | N = 1000","location per-item coverage",1000,1000,0,0,NA,NA,NA,NA,NA,0.966,0.00216620461693775,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-power.R","ad3212eea0966688f21af493cacf2725","abd6a9a+dirty","197ec319d87f","2026-08-21",""
"frame-invariance-power","null: unit ratio only | N = 1000","location raw per-item type I error",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.034,0.00216620461693775,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/frame-invariance-power.R","ad3212eea0966688f21af493cacf2725","abd6a9a+dirty","197ec319d87f","2026-08-21",""
