"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"humphry-item-side","8 items/frame, N = 200 per frame, unit ratio 1.30","log unit ratio, raw SD ratio",30,30,0,NA,200,-0.0306361589640931,0.0907737393605999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/humphry-item-side.R","8f9529c51e3a95407287a4ef6dc0adb1","d21d474","ddbdf9c7c392","2026-08-19","items 8"
"humphry-item-side","8 items/frame, N = 200 per frame, unit ratio 1.30","log unit ratio, naive SD ratio",30,30,0,NA,200,-0.0284122541804587,0.0918498368469534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/humphry-item-side.R","8f9529c51e3a95407287a4ef6dc0adb1","d21d474","ddbdf9c7c392","2026-08-19","items 8"
"humphry-item-side","8 items/frame, N = 200 per frame, unit ratio 1.30","log unit ratio, cov SD ratio",30,30,0,NA,200,-0.0280882138841205,0.0920068505132378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/humphry-item-side.R","8f9529c51e3a95407287a4ef6dc0adb1","d21d474","ddbdf9c7c392","2026-08-19","items 8"
"humphry-item-side","8 items/frame, N = 500 per frame, unit ratio 1.30","log unit ratio, raw SD ratio",30,30,0,NA,500,0.00183730489284856,0.0438438927384043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/humphry-item-side.R","8f9529c51e3a95407287a4ef6dc0adb1","d21d474","ddbdf9c7c392","2026-08-19","items 8"
"humphry-item-side","8 items/frame, N = 500 per frame, unit ratio 1.30","log unit ratio, naive SD ratio",30,30,0,NA,500,0.00281648142182206,0.0440545711066963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/humphry-item-side.R","8f9529c51e3a95407287a4ef6dc0adb1","d21d474","ddbdf9c7c392","2026-08-19","items 8"
"humphry-item-side","8 items/frame, N = 500 per frame, unit ratio 1.30","log unit ratio, cov SD ratio",30,30,0,NA,500,0.00295746725078161,0.0440849612085055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/humphry-item-side.R","8f9529c51e3a95407287a4ef6dc0adb1","d21d474","ddbdf9c7c392","2026-08-19","items 8"
"humphry-item-side","8 items/frame, N = 1000 per frame, unit ratio 1.30","log unit ratio, raw SD ratio",30,30,0,NA,1000,0.0106931519626797,0.0369531953870191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/humphry-item-side.R","8f9529c51e3a95407287a4ef6dc0adb1","d21d474","ddbdf9c7c392","2026-08-19","items 8"
"humphry-item-side","8 items/frame, N = 1000 per frame, unit ratio 1.30","log unit ratio, naive SD ratio",30,30,0,NA,1000,0.0111964740489584,0.0370389889696769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/humphry-item-side.R","8f9529c51e3a95407287a4ef6dc0adb1","d21d474","ddbdf9c7c392","2026-08-19","items 8"
"humphry-item-side","8 items/frame, N = 1000 per frame, unit ratio 1.30","log unit ratio, cov SD ratio",30,30,0,NA,1000,0.011268664741342,0.0370512996314307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/humphry-item-side.R","8f9529c51e3a95407287a4ef6dc0adb1","d21d474","ddbdf9c7c392","2026-08-19","items 8"
"humphry-item-side","8 items/frame, N = 2000 per frame, unit ratio 1.30","log unit ratio, raw SD ratio",30,30,0,NA,2000,0.00401286732526546,0.0298611728614661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/humphry-item-side.R","8f9529c51e3a95407287a4ef6dc0adb1","d21d474","ddbdf9c7c392","2026-08-19","items 8"
"humphry-item-side","8 items/frame, N = 2000 per frame, unit ratio 1.30","log unit ratio, naive SD ratio",30,30,0,NA,2000,0.004253028472128,0.0298947443002688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/humphry-item-side.R","8f9529c51e3a95407287a4ef6dc0adb1","d21d474","ddbdf9c7c392","2026-08-19","items 8"
"humphry-item-side","8 items/frame, N = 2000 per frame, unit ratio 1.30","log unit ratio, cov SD ratio",30,30,0,NA,2000,0.00428740513937365,0.0298995508379656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/humphry-item-side.R","8f9529c51e3a95407287a4ef6dc0adb1","d21d474","ddbdf9c7c392","2026-08-19","items 8"
