"scenario","replicate","B","seed","status","message","warnings","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","same_data_max_error","imposed_count_max_error","min_intervals","max_intervals","total","chisq_marginal","chisq_familywise","fit_resid_marginal","fit_resid_familywise","infit_z_marginal","infit_z_familywise","outfit_z_marginal","outfit_z_familywise","script","script_md5","package_sha","r_tree_md5","executed","harness_md5","algorithm"
"linked booklets",1,600,6000001,"ok","","",600,600,0,0,0,7.98393926376513,3,7,0,0,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,600,6000002,"ok","","",600,600,0,0,0,7.62937027069692,3,7,0,0,0,0,0,0.0666666666666667,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",3,600,6000003,"ok","","",600,600,0,0,0,7.40725152122019,3,7,0,0.0666666666666667,0,0.133333333333333,0,0.0666666666666667,0,0.133333333333333,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",4,600,6000004,"ok","","",600,600,0,0,0,9.61128700488734,3,7,0,0.0666666666666667,0,0,0,0.0666666666666667,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",5,600,6000005,"ok","","",600,600,0,0,0,4.33356090419182,3,7,0,0.0666666666666667,0,0.0666666666666667,0,0,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",6,600,6000006,"ok","","",600,600,0,0,0,5.67563385951969,3,7,0,0,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",7,600,6000007,"ok","","",600,600,0,0,0,9.40421041507664,3,7,0,0,0,0,0,0.0666666666666667,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",8,600,6000008,"ok","","",600,600,0,0,0,4.06667328158863,3,7,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",9,600,6000009,"ok","","",600,600,0,0,0,9.1178872421712,3,7,0,0.0666666666666667,0,0.133333333333333,0,0.133333333333333,0,0.133333333333333,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",10,600,6000010,"ok","","",600,600,0,0,0,5.14763160879376,3,7,0,0.0666666666666667,0,0.0666666666666667,0,0,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
