"scenario","replicate","item","intervals","chisq","chisq_p_boot","chisq_p_boot_adj","n_boot_chisq","fit_resid","fit_resid_p_boot","fit_resid_p_boot_adj","n_boot_fit_resid","infit_ms","infit_ms_p_boot","infit_ms_p_boot_adj","n_boot_infit_ms","outfit_ms","outfit_ms_p_boot","outfit_ms_p_boot_adj","n_boot_outfit_ms","infit_z","infit_z_p_boot","infit_z_p_boot_adj","n_boot_infit_z","outfit_z","outfit_z_p_boot","outfit_z_p_boot_adj","n_boot_outfit_z","n_boot","script","script_md5","package_sha","r_tree_md5","executed","harness_md5","algorithm"
"linked booklets",1,"I01",3,0.628633983473984,0.835274542429285,1,600,0.47503438193902,0.505823627287854,1,600,1.09587483124695,0.435940099833611,1,600,1.06409404224921,0.509151414309484,1,600,1.16519077385737,0.482529118136439,1,600,0.495957532905239,0.509151414309484,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",1,"I02",3,3.76819467586724,0.173044925124792,1,600,-0.603939050761056,0.37936772046589,1,600,1.02841124967871,0.715474209650582,1,600,0.905723358089962,0.412645590682196,1,600,0.382447537648508,0.742096505823627,1,600,-0.690498111780522,0.37603993344426,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",1,"I03",3,2.74238088199129,0.324459234608985,1,600,-0.217103223722523,0.715474209650582,1,600,1.05145562649934,0.978369384359401,1,600,0.969162293782339,0.715474209650582,1,600,0.723495494925585,0.981697171381032,1,600,-0.236400246136511,0.715474209650582,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",1,"I04",3,0.501446557405759,0.878535773710483,1,600,0.0309126862736919,0.885191347753744,1,600,1.06873573065211,0.815307820299501,1,600,0.999426091708527,0.888519134775374,1,600,0.942763752423086,0.818635607321131,1,600,0.0337601265329327,0.885191347753744,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",1,"I05",3,1.20002920917663,0.618968386023295,1,600,-0.135500441018492,0.678868552412646,1,600,1.05020731214948,0.885191347753744,1,600,0.989058891661136,0.675540765391015,1,600,0.7758964884791,0.888519134775374,1,600,-0.088887302728363,0.675540765391015,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",1,"I06",7,11.8432171845996,0.0665557404326123,0.998336106489185,600,1.05483756842261,0.226289517470882,1,600,1.03609070989805,0.742096505823627,1,600,1.10707514214214,0.222961730449251,1,600,0.673127209591487,0.748752079866889,1,600,1.14752785884913,0.226289517470882,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",1,"I07",7,2.75046970813369,0.91846921797005,1,600,0.8710547296643,0.342762063227953,1,600,1.08419154426919,0.48585690515807,1,600,1.0796329626338,0.342762063227953,1,600,1.61957804934676,0.48585690515807,1,600,0.970448927580547,0.356073211314476,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",1,"I08",7,6.47425587284079,0.467554076539101,1,600,-0.264971665775305,0.502495840266223,1,600,1.03659057628236,0.569051580698835,1,600,0.97676239047272,0.502495840266223,1,600,0.768289006436734,0.572379367720466,1,600,-0.278746334874539,0.495840266222962,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",1,"I09",7,2.31279484927909,0.913477537437604,1,600,1.67581997560871,0.10981697171381,1,600,1.13142828654736,0.21630615640599,1,600,1.15733920623468,0.116472545757072,1,600,2.63891102407127,0.219633943427621,1,600,1.92634383603567,0.10648918469218,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",1,"I10",7,10.8517454242833,0.121464226289517,1,600,0.24269357803144,0.951747088186356,1,600,1.14009393348447,0.0732113144758735,1,600,1.01971509551079,0.958402662229617,1,600,2.67380613099609,0.086522462562396,1,600,0.245857881012202,0.951747088186356,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
