"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes","harness_md5","algorithm"
"item-fit-bootstrap-intervals","linked booklets","total",100,100,0,0,0,0,0,60000,60000,0,0,NA,NA,NA,NA,NA,NA,NA,0.02,0.014070529413629,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","B = 600; automatic per-item intervals; rates conditional on successful fits with the complete metric family; MCSE from independent dataset-level values; original booklet seeds retained","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"item-fit-bootstrap-intervals","linked booklets","chisq_marginal",100,100,0,0,0,0,0,60000,60000,0,0,NA,NA,NA,NA,NA,NA,NA,0.0533333333333333,0.00527578378068711,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","B = 600; automatic per-item intervals; rates conditional on successful fits with the complete metric family; MCSE from independent dataset-level values; original booklet seeds retained","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"item-fit-bootstrap-intervals","linked booklets","fit_resid_marginal",100,100,0,0,0,0,0,60000,60000,0,0,NA,NA,NA,NA,NA,NA,NA,0.0573333333333333,0.00635782964189283,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","B = 600; automatic per-item intervals; rates conditional on successful fits with the complete metric family; MCSE from independent dataset-level values; original booklet seeds retained","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"item-fit-bootstrap-intervals","linked booklets","infit_z_marginal",100,100,0,0,0,0,0,60000,60000,0,0,NA,NA,NA,NA,NA,NA,NA,0.0566666666666667,0.00594588390010563,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","B = 600; automatic per-item intervals; rates conditional on successful fits with the complete metric family; MCSE from independent dataset-level values; original booklet seeds retained","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"item-fit-bootstrap-intervals","linked booklets","outfit_z_marginal",100,100,0,0,0,0,0,60000,60000,0,0,NA,NA,NA,NA,NA,NA,NA,0.058,0.00640251073086257,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","B = 600; automatic per-item intervals; rates conditional on successful fits with the complete metric family; MCSE from independent dataset-level values; original booklet seeds retained","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"item-fit-bootstrap-intervals","linked booklets","chisq_familywise",100,100,0,0,0,0,0,60000,60000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.0256432399976243,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","B = 600; automatic per-item intervals; rates conditional on successful fits with the complete metric family; MCSE from independent dataset-level values; original booklet seeds retained","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"item-fit-bootstrap-intervals","linked booklets","fit_resid_familywise",100,100,0,0,0,0,0,60000,60000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.0238683256575942,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","B = 600; automatic per-item intervals; rates conditional on successful fits with the complete metric family; MCSE from independent dataset-level values; original booklet seeds retained","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"item-fit-bootstrap-intervals","linked booklets","infit_z_familywise",100,100,0,0,0,0,0,60000,60000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.0238683256575942,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","B = 600; automatic per-item intervals; rates conditional on successful fits with the complete metric family; MCSE from independent dataset-level values; original booklet seeds retained","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"item-fit-bootstrap-intervals","linked booklets","outfit_z_familywise",100,100,0,0,0,0,0,60000,60000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.021904291355759,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","B = 600; automatic per-item intervals; rates conditional on successful fits with the complete metric family; MCSE from independent dataset-level values; original booklet seeds retained","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"item-fit-bootstrap-intervals","unequal exposure","total",100,100,0,0,0,0,0,39900,39900,0,0,NA,NA,NA,NA,NA,NA,NA,0.06,0.0238683256575942,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","B = 399; automatic per-item intervals; rates conditional on successful fits with the complete metric family; MCSE from independent dataset-level values; original booklet seeds retained","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
