"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"item fit bootstrap","null, 250 persons x 8 items","item-trait chi-square Type I error (asymptotic)",100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,0.08875,0.00993905036823047,NA,NA,NA,NA,NA,NA,0,0,"tools/simval/studies/item-fit-bootstrap.R","22318e23b1a5303e04943147e0914915","b24b5f6+dirty","4d76413a4866","2026-08-30",""
"item fit bootstrap","null, 250 persons x 8 items","item-trait chi-square Type I error (parametric bootstrap)",100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,0.04375,0.00740576318030953,NA,NA,NA,NA,NA,NA,0,0,"tools/simval/studies/item-fit-bootstrap.R","22318e23b1a5303e04943147e0914915","b24b5f6+dirty","4d76413a4866","2026-08-30",""
"item fit bootstrap","null, 250 persons x 8 items","fit residual Type I error (asymptotic)",100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,0.01,0.00340824905430364,NA,NA,NA,NA,NA,NA,0,0,"tools/simval/studies/item-fit-bootstrap.R","22318e23b1a5303e04943147e0914915","b24b5f6+dirty","4d76413a4866","2026-08-30",""
"item fit bootstrap","null, 250 persons x 8 items","fit residual Type I error (parametric bootstrap)",100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,0.0425,0.00798910242616513,NA,NA,NA,NA,NA,NA,0,0,"tools/simval/studies/item-fit-bootstrap.R","22318e23b1a5303e04943147e0914915","b24b5f6+dirty","4d76413a4866","2026-08-30",""
"item fit bootstrap","null, 250 persons x 8 items","infit z Type I error (asymptotic)",100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,0.115,0.00864566219253764,NA,NA,NA,NA,NA,NA,0,0,"tools/simval/studies/item-fit-bootstrap.R","22318e23b1a5303e04943147e0914915","b24b5f6+dirty","4d76413a4866","2026-08-30",""
"item fit bootstrap","null, 250 persons x 8 items","infit z Type I error (parametric bootstrap)",100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,0.04,0.00751261565231404,NA,NA,NA,NA,NA,NA,0,0,"tools/simval/studies/item-fit-bootstrap.R","22318e23b1a5303e04943147e0914915","b24b5f6+dirty","4d76413a4866","2026-08-30",""
"item fit bootstrap","null, 250 persons x 8 items","outfit z Type I error (asymptotic)",100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,0.02375,0.00553198915765424,NA,NA,NA,NA,NA,NA,0,0,"tools/simval/studies/item-fit-bootstrap.R","22318e23b1a5303e04943147e0914915","b24b5f6+dirty","4d76413a4866","2026-08-30",""
"item fit bootstrap","null, 250 persons x 8 items","outfit z Type I error (parametric bootstrap)",100,100,NA,0,NA,NA,NA,NA,NA,NA,NA,0.04125,0.00775553728544054,NA,NA,NA,NA,NA,NA,0,0,"tools/simval/studies/item-fit-bootstrap.R","22318e23b1a5303e04943147e0914915","b24b5f6+dirty","4d76413a4866","2026-08-30",""
"item fit bootstrap","null, 250 persons x 8 items","fit residual beyond the conventional 2.5 (asymptotic)",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.00246182981958665,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/item-fit-bootstrap.R","22318e23b1a5303e04943147e0914915","b24b5f6+dirty","4d76413a4866","2026-08-30","fit residual mean -0.114 SD 0.744; mean chisq 4.0 on df 3"
"item fit bootstrap","null, 250 persons x 8 items","total item-trait Type I error (asymptotic)",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.0438634243989226,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/item-fit-bootstrap.R","22318e23b1a5303e04943147e0914915","b24b5f6+dirty","4d76413a4866","2026-08-30",""
