"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"item-fit-hc3","short targeted test","classical item-wise Type I",200,200,0,0,0,NA,NA,NA,NA,NA,NA,0.159375,0.00844996636281253,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-hc3.R","c9daa253628fa1f6b55ae69777e56958","bd518e8+dirty","735ec7272129","2026-08-22","metric-specific denominator; unavailable diagnostic rows count as refusals. HC3 is a sensitivity candidate; conventional RMT ANOVA remains the comparator"
"item-fit-hc3","short targeted test","HC3 item-wise Type I",200,200,0,0,0,NA,NA,NA,NA,NA,NA,0.394732142857143,0.0107705193803164,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-hc3.R","c9daa253628fa1f6b55ae69777e56958","bd518e8+dirty","735ec7272129","2026-08-22","metric-specific denominator; unavailable diagnostic rows count as refusals. HC3 is a sensitivity candidate; conventional RMT ANOVA remains the comparator"
"item-fit-hc3","short targeted test","classical Holm FWER",200,200,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.305,0.0325557214633619,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-hc3.R","c9daa253628fa1f6b55ae69777e56958","bd518e8+dirty","735ec7272129","2026-08-22","metric-specific denominator; unavailable diagnostic rows count as refusals. HC3 is a sensitivity candidate; conventional RMT ANOVA remains the comparator"
"item-fit-hc3","short targeted test","HC3 Holm FWER",200,200,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.885,0.0225582579114612,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-hc3.R","c9daa253628fa1f6b55ae69777e56958","bd518e8+dirty","735ec7272129","2026-08-22","metric-specific denominator; unavailable diagnostic rows count as refusals. HC3 is a sensitivity candidate; conventional RMT ANOVA remains the comparator"
"item-fit-hc3","short targeted test","item-trait item-wise Type I",200,200,0,0,0,NA,NA,NA,NA,NA,NA,0.12625,0.00840582996419359,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-hc3.R","c9daa253628fa1f6b55ae69777e56958","bd518e8+dirty","735ec7272129","2026-08-22","metric-specific denominator; unavailable diagnostic rows count as refusals. HC3 is a sensitivity candidate; conventional RMT ANOVA remains the comparator"
"item-fit-hc3","short targeted test","item-trait Holm FWER",200,200,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.0252487623459052,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-hc3.R","c9daa253628fa1f6b55ae69777e56958","bd518e8+dirty","735ec7272129","2026-08-22","metric-specific denominator; unavailable diagnostic rows count as refusals. HC3 is a sensitivity candidate; conventional RMT ANOVA remains the comparator"
"item-fit-hc3","short targeted test","classical planted-item power",200,200,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,0.0174320107847603,0,0,0,0,"tools/simval/studies/item-fit-hc3.R","c9daa253628fa1f6b55ae69777e56958","bd518e8+dirty","735ec7272129","2026-08-22","metric-specific denominator; unavailable diagnostic rows count as refusals. HC3 is a sensitivity candidate; conventional RMT ANOVA remains the comparator"
"item-fit-hc3","short targeted test","HC3 planted-item power",200,200,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245,0.0304117575947198,0,0,0,0,"tools/simval/studies/item-fit-hc3.R","c9daa253628fa1f6b55ae69777e56958","bd518e8+dirty","735ec7272129","2026-08-22","metric-specific denominator; unavailable diagnostic rows count as refusals. HC3 is a sensitivity candidate; conventional RMT ANOVA remains the comparator"
"item-fit-hc3","short targeted test","item-trait planted-item power",200,200,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.00989949493661166,0,0,0,0,"tools/simval/studies/item-fit-hc3.R","c9daa253628fa1f6b55ae69777e56958","bd518e8+dirty","735ec7272129","2026-08-22","metric-specific denominator; unavailable diagnostic rows count as refusals. HC3 is a sensitivity candidate; conventional RMT ANOVA remains the comparator"
"item-fit-hc3","short mistargeted test","classical item-wise Type I",200,200,0,0,0,NA,NA,NA,NA,NA,NA,0.16625,0.00807811657112496,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-hc3.R","c9daa253628fa1f6b55ae69777e56958","bd518e8+dirty","735ec7272129","2026-08-22","metric-specific denominator; unavailable diagnostic rows count as refusals. HC3 is a sensitivity candidate; conventional RMT ANOVA remains the comparator"
