"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"item-fit-interval-count","8 items; model true","item-wise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.23125,0.0099517459510755,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 2 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; model true","Holm familywise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.0489897948556636,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 2 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; model true","item-wise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.215,0.0117958218934254,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 3 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; model true","Holm familywise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.0498397431775085,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 3 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; model true","item-wise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.2,0.0120499800913537,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 4 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; model true","Holm familywise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.0495075751779463,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 4 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; model true","item-wise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.19375,0.0127345420257684,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 5 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; model true","Holm familywise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.0495075751779463,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 5 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; model true","item-wise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.18625,0.0111655076286777,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 6 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; model true","Holm familywise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.0493558507170123,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 6 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; model true","item-wise rejection",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.17,0.0115852134946738,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 7 intervals; ties may reduce the realised count"
