"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"misfit-both-channels","clean (all discriminations 1)","log unit ratio, item channel",100,100,0,NA,NA,0.000339577110613998,0.0349233548654933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.300 vs planted 1.300"
"misfit-both-channels","clean (all discriminations 1)","log unit ratio, person channel",100,100,0,NA,NA,0.00821730635896911,0.0449975670756703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.311 vs planted 1.300"
"misfit-both-channels","2 of 12 over-discriminating (x2)","log unit ratio, item channel",100,100,0,NA,NA,-0.00826530731868935,0.0308505272312563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.289 vs planted 1.300"
"misfit-both-channels","2 of 12 over-discriminating (x2)","log unit ratio, person channel",100,100,0,NA,NA,-0.00301695578518291,0.0462068656963727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.296 vs planted 1.300"
"misfit-both-channels","2 of 12 under-discriminating (x0.5)","log unit ratio, item channel",100,100,0,NA,NA,-0.0142319228848002,0.0333393969587752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.282 vs planted 1.300"
"misfit-both-channels","2 of 12 under-discriminating (x0.5)","log unit ratio, person channel",100,100,0,NA,NA,-0.00721224714890778,0.0475647055677377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.291 vs planted 1.300"
"misfit-both-channels","2 over and 2 under","log unit ratio, item channel",100,100,0,NA,NA,-0.0196921594305137,0.0326794040085332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.275 vs planted 1.300"
"misfit-both-channels","2 over and 2 under","log unit ratio, person channel",100,100,0,NA,NA,-0.0108960601458043,0.0395952876300704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.286 vs planted 1.300"
"misfit-both-channels","4 of 12 over-discriminating (x2)","log unit ratio, item channel",100,100,0,NA,NA,-0.0232267370917844,0.0322985685754266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.270 vs planted 1.300"
"misfit-both-channels","4 of 12 over-discriminating (x2)","log unit ratio, person channel",100,100,0,NA,NA,-0.0102526256836929,0.0445114363324553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.287 vs planted 1.300"
"misfit-both-channels","4 of 12 under-discriminating (x0.5)","log unit ratio, item channel",100,100,0,NA,NA,-0.0214198628952255,0.0349439689571058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.272 vs planted 1.300"
"misfit-both-channels","4 of 12 under-discriminating (x0.5)","log unit ratio, person channel",100,100,0,NA,NA,-0.0130573505270806,0.0501541584368965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.283 vs planted 1.300"
"misfit-both-channels","all items scattered (log-normal sd 0.25)","log unit ratio, item channel",100,100,0,NA,NA,-0.0119400470437077,0.0330391338075795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.285 vs planted 1.300"
"misfit-both-channels","all items scattered (log-normal sd 0.25)","log unit ratio, person channel",100,100,0,NA,NA,-0.00539599173899696,0.0508438379495411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-both-channels.R","121b12d0f518dfc8e85281f430591e6b","624928b","80e9b520006c","2026-08-19","recovered 1.293 vs planted 1.300"
