"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"misfit-repair","alpha | clean","log alpha ratio",200,200,0,NA,NA,0.0166075419871943,0.103016485770943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","recovered 1.423 vs planted 1.400"
"misfit-repair","phi | clean","log phi ratio",200,200,0,NA,NA,0.00576578710394254,0.0578141512094197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","recovered 1.408 vs planted 1.400"
"misfit-repair","alpha | 2 over-discriminating in set 1 | damaged","log alpha ratio",200,200,0,NA,NA,-0.166682056923121,0.103951919171499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","recovered 1.185 vs planted 1.400"
"misfit-repair","alpha | 2 over-discriminating in set 1 | repaired, item fit p_adj < .05","log alpha ratio",199,200,1,NA,NA,-0.046145910153219,0.178994033272821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.004987484335815,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","recovered 1.337 vs planted 1.400"
"misfit-repair","alpha | 2 over-discriminating in set 1 | repaired, item fit p_adj < .05","log alpha ratio",199,200,1,NA,NA,-0.046145910153219,0.178994033272821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.004987484335815,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","flagged 67% of planted, 3% of sound items"
"misfit-repair","alpha | 2 over-discriminating in set 1 | repaired, item fit p_adj < .05","log alpha ratio",199,200,1,NA,NA,-0.046145910153219,0.178994033272821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.004987484335815,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","29/200 replicates flagged nothing"
"misfit-repair","alpha | 2 over-discriminating in set 1 | repaired, |infit z| > 2","log alpha ratio",152,200,48,NA,NA,-0.0582574061235741,0.258673120153558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.030199337741083,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","recovered 1.321 vs planted 1.400"
"misfit-repair","alpha | 2 over-discriminating in set 1 | repaired, |infit z| > 2","log alpha ratio",152,200,48,NA,NA,-0.0582574061235741,0.258673120153558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.030199337741083,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","flagged 86% of planted, 17% of sound items"
"misfit-repair","alpha | 2 over-discriminating in set 1 | repaired, |infit z| > 2","log alpha ratio",152,200,48,NA,NA,-0.0582574061235741,0.258673120153558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.030199337741083,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","0/200 replicates flagged nothing"
"misfit-repair","alpha | 2 over-discriminating in set 1 | oracle drop","log alpha ratio",200,200,0,NA,NA,0.0210256743710626,0.139812861859048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","recovered 1.430 vs planted 1.400"
"misfit-repair","alpha | 2 under-discriminating in set 1 | damaged","log alpha ratio",200,200,0,NA,NA,0.190444779091789,0.118298508522322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","recovered 1.694 vs planted 1.400"
"misfit-repair","alpha | 2 under-discriminating in set 1 | repaired, item fit p_adj < .05","log alpha ratio",200,200,0,NA,NA,0.156810897350696,0.154169675310051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","recovered 1.638 vs planted 1.400"
"misfit-repair","alpha | 2 under-discriminating in set 1 | repaired, item fit p_adj < .05","log alpha ratio",200,200,0,NA,NA,0.156810897350696,0.154169675310051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","flagged 22% of planted, 1% of sound items"
"misfit-repair","alpha | 2 under-discriminating in set 1 | repaired, item fit p_adj < .05","log alpha ratio",200,200,0,NA,NA,0.156810897350696,0.154169675310051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","114/200 replicates flagged nothing"
"misfit-repair","alpha | 2 under-discriminating in set 1 | repaired, |infit z| > 2","log alpha ratio",200,200,0,NA,NA,0.0599434527808625,0.189126082435761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","recovered 1.486 vs planted 1.400"
"misfit-repair","alpha | 2 under-discriminating in set 1 | repaired, |infit z| > 2","log alpha ratio",200,200,0,NA,NA,0.0599434527808625,0.189126082435761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","flagged 95% of planted, 4% of sound items"
"misfit-repair","alpha | 2 under-discriminating in set 1 | repaired, |infit z| > 2","log alpha ratio",200,200,0,NA,NA,0.0599434527808625,0.189126082435761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/misfit-repair.R","de4dafdae14bad750ad5ef8c0786929a","369e963","503cb23cf1fe","2026-08-19","1/200 replicates flagged nothing"
