"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes"
"pcml-cluster-cr1-screen","dichotomous; G=10; 10 rows/person; 5 items","Welch t pooled raw rejection",496,500,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055241935483871,0.005092165766976,NA,NA,NA,NA,0,0,0,0,0,0,0.008,0.0039839678713564,0,0,"tools/simval/studies/pcml-cluster-cr1-screen.R","8a6f7d3b160d573be400e8db4085d816","git:86ddf2c+dirty","7453e33d47ce","2026-09-06","Two independent null calibrations; current Welch t compared on the same fits with covariance multiplied by G/(G-1); Holm family is all 5 items"
"pcml-cluster-cr1-screen","dichotomous; G=10; 10 rows/person; 5 items","G/(G-1) plus Welch t pooled raw rejection",496,500,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0407258064516129,0.00442955556308612,NA,NA,NA,NA,0,0,0,0,0,0,0.008,0.0039839678713564,0,0,"tools/simval/studies/pcml-cluster-cr1-screen.R","8a6f7d3b160d573be400e8db4085d816","git:86ddf2c+dirty","7453e33d47ce","2026-09-06","Two independent null calibrations; current Welch t compared on the same fits with covariance multiplied by G/(G-1); Holm family is all 5 items"
"pcml-cluster-cr1-screen","dichotomous; G=10; 10 rows/person; 5 items","Welch t Holm familywise rejection",496,500,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0463709677419355,0.00944217344151338,NA,NA,0,0,0,0,0,0,0.008,0.0039839678713564,0,0,"tools/simval/studies/pcml-cluster-cr1-screen.R","8a6f7d3b160d573be400e8db4085d816","git:86ddf2c+dirty","7453e33d47ce","2026-09-06","Two independent null calibrations; current Welch t compared on the same fits with covariance multiplied by G/(G-1); Holm family is all 5 items"
"pcml-cluster-cr1-screen","dichotomous; G=10; 10 rows/person; 5 items","G/(G-1) plus Welch t Holm familywise rejection",496,500,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0383064516129032,0.00861813861930495,NA,NA,0,0,0,0,0,0,0.008,0.0039839678713564,0,0,"tools/simval/studies/pcml-cluster-cr1-screen.R","8a6f7d3b160d573be400e8db4085d816","git:86ddf2c+dirty","7453e33d47ce","2026-09-06","Two independent null calibrations; current Welch t compared on the same fits with covariance multiplied by G/(G-1); Holm family is all 5 items"
"pcml-cluster-cr1-screen","dichotomous; G=12; 10 rows/person; 5 items","Welch t pooled raw rejection",500,500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0608,0.00502964358869081,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/pcml-cluster-cr1-screen.R","8a6f7d3b160d573be400e8db4085d816","git:86ddf2c+dirty","7453e33d47ce","2026-09-06","Two independent null calibrations; current Welch t compared on the same fits with covariance multiplied by G/(G-1); Holm family is all 5 items"
"pcml-cluster-cr1-screen","dichotomous; G=12; 10 rows/person; 5 items","G/(G-1) plus Welch t pooled raw rejection",500,500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0496,0.0045520459405073,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/pcml-cluster-cr1-screen.R","8a6f7d3b160d573be400e8db4085d816","git:86ddf2c+dirty","7453e33d47ce","2026-09-06","Two independent null calibrations; current Welch t compared on the same fits with covariance multiplied by G/(G-1); Holm family is all 5 items"
"pcml-cluster-cr1-screen","dichotomous; G=12; 10 rows/person; 5 items","Welch t Holm familywise rejection",500,500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,0.00936845771725528,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/pcml-cluster-cr1-screen.R","8a6f7d3b160d573be400e8db4085d816","git:86ddf2c+dirty","7453e33d47ce","2026-09-06","Two independent null calibrations; current Welch t compared on the same fits with covariance multiplied by G/(G-1); Holm family is all 5 items"
"pcml-cluster-cr1-screen","dichotomous; G=12; 10 rows/person; 5 items","G/(G-1) plus Welch t Holm familywise rejection",500,500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.00626099033699941,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/pcml-cluster-cr1-screen.R","8a6f7d3b160d573be400e8db4085d816","git:86ddf2c+dirty","7453e33d47ce","2026-09-06","Two independent null calibrations; current Welch t compared on the same fits with covariance multiplied by G/(G-1); Holm family is all 5 items"
"pcml-cluster-cr1-screen","dichotomous; G=20; 10 rows/person; 5 items","Welch t pooled raw rejection",500,500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0512,0.00469053538996234,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/pcml-cluster-cr1-screen.R","8a6f7d3b160d573be400e8db4085d816","git:86ddf2c+dirty","7453e33d47ce","2026-09-06","Two independent null calibrations; current Welch t compared on the same fits with covariance multiplied by G/(G-1); Holm family is all 5 items"
"pcml-cluster-cr1-screen","dichotomous; G=20; 10 rows/person; 5 items","G/(G-1) plus Welch t pooled raw rejection",500,500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0444,0.00431909587510589,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/pcml-cluster-cr1-screen.R","8a6f7d3b160d573be400e8db4085d816","git:86ddf2c+dirty","7453e33d47ce","2026-09-06","Two independent null calibrations; current Welch t compared on the same fits with covariance multiplied by G/(G-1); Holm family is all 5 items"
