"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"person fit bootstrap","dichotomous, 240 persons x 12 items","person fit-residual marginal Type I error",100,100,0,0,0,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,0.0241035225316508,0.000803448993450741,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; fit residual, score-conditional maxT; 0 of 9900 bootstrap refits did not converge; 0 otherwise failed"
"person fit bootstrap","dichotomous, 240 persons x 12 items","person fit-residual joint-adjusted familywise error",100,100,0,0,0,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.0217944947177034,NA,NA,0,0,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; fit residual, score-conditional maxT; 0 of 9900 bootstrap refits did not converge; 0 otherwise failed"
"person fit bootstrap","PCM, 240 persons x 12 items","person fit-residual marginal Type I error",85,100,15,0,0,9801,7133,0,2668,NA,NA,NA,NA,NA,NA,NA,0.0385359750594799,0.00162626341873457,NA,NA,NA,NA,0.15,0.0357071421427143,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; fit residual, score-conditional maxT; 0 of 9801 bootstrap refits did not converge; 2668 otherwise failed"
"person fit bootstrap","PCM, 240 persons x 12 items","person fit-residual joint-adjusted familywise error",85,100,15,0,0,9801,7133,0,2668,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0823529411764706,0.0298172737650028,NA,NA,0.15,0.0357071421427143,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; fit residual, score-conditional maxT; 0 of 9801 bootstrap refits did not converge; 2668 otherwise failed"
"person fit bootstrap","10% random responders, 240 persons x 12 items","clean-person familywise error",100,100,0,0,0,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; 0 of 9900 bootstrap refits did not converge; 0 otherwise failed"
"person fit bootstrap","10% random responders, 240 persons x 12 items","careless-person marginal detection",100,100,0,0,0,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40625,0.00889076290220164,0,0,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; 0 of 9900 bootstrap refits did not converge; 0 otherwise failed"
"person fit bootstrap","10% random responders, 240 persons x 12 items","careless-person joint-adjusted detection",100,100,0,0,0,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0541666666666667,0.00500771010481109,0,0,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; 0 of 9900 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison fit bootstrap","dichotomous, 6 objects x 20 judges","total pairwise chi-square Type I error",100,100,0,0,0,9900,9862,0,38,NA,NA,NA,NA,NA,NA,NA,0.03,0.017058722109232,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; 0 of 9900 bootstrap refits did not converge; 38 otherwise failed"
"paired-comparison fit bootstrap","dichotomous, 6 objects x 20 judges","pair chi-square joint-adjusted familywise error",100,100,0,0,0,9900,9862,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.017058722109232,NA,NA,0,0,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; 0 of 9900 bootstrap refits did not converge; 38 otherwise failed"
"paired-comparison fit bootstrap","dichotomous, 6 objects x 20 judges","object fit-residual joint-adjusted familywise error",100,100,0,0,0,9900,9862,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.0099498743710662,NA,NA,0,0,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; 0 of 9900 bootstrap refits did not converge; 38 otherwise failed"
"paired-comparison fit bootstrap","dichotomous, 6 objects x 20 judges","judge fit-residual joint-adjusted familywise error",100,100,0,0,0,9900,9862,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.017058722109232,NA,NA,0,0,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; 0 of 9900 bootstrap refits did not converge; 38 otherwise failed"
"paired-comparison fit bootstrap","dichotomous, 6 objects x 20 judges","judge fit-residual marginal Type I error",100,100,0,0,0,9900,9862,0,38,NA,NA,NA,NA,NA,NA,NA,0.04,0.00438085827115181,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; 0 of 9900 bootstrap refits did not converge; 38 otherwise failed"
"paired-comparison fit bootstrap","polytomous, 6 objects x 20 judges","total pairwise chi-square Type I error",100,100,0,0,0,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,0.03,0.017058722109232,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; 0 of 9900 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison fit bootstrap","polytomous, 6 objects x 20 judges","pair chi-square joint-adjusted familywise error",100,100,0,0,0,9900,9900,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.0271293199325011,NA,NA,0,0,0,0,0,0,"tools/simval/studies/person-cj-fit-bootstrap.R","8f1d0941846df81e0e0a478c6076bc42","0b76116","d0efb1e5b3a7","2026-08-31","B = 99; 0 of 9900 bootstrap refits did not converge; 0 otherwise failed"
