"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes"
"person-external-weights","dichotomous; weights=equal; units=equal; theta=-1.0","person location",5000,5000,0,0,NA,NA,NA,NA,NA,NA,NA,-1,0.0082701337866947,0.440816451050542,0.449171942244805,0.981398011744667,0.9772,0.00211093154791907,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"tools/simval/studies/person-external-weights.R","edf5d7321bb846089cabe0a7deb018ea","git:86ddf2c+dirty","c58e6a4c9490","2026-09-06","fixed generating calibration; externally weighted Warm score with sandwich standard error"
"person-external-weights","dichotomous; weights=equal; units=equal; theta=+0.0","person location",5000,5000,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.0138408484917365,0.425086224180144,0.425577760107521,0.998845015004419,0.9418,0.00331097447891101,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"tools/simval/studies/person-external-weights.R","edf5d7321bb846089cabe0a7deb018ea","git:86ddf2c+dirty","c58e6a4c9490","2026-09-06","fixed generating calibration; externally weighted Warm score with sandwich standard error"
"person-external-weights","dichotomous; weights=equal; units=equal; theta=+1.0","person location",5000,5000,0,0,NA,NA,NA,NA,NA,NA,NA,1,-0.00558672123012805,0.44752677413644,0.449484557307295,0.995644381683358,0.9734,0.00227562914377541,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"tools/simval/studies/person-external-weights.R","edf5d7321bb846089cabe0a7deb018ea","git:86ddf2c+dirty","c58e6a4c9490","2026-09-06","fixed generating calibration; externally weighted Warm score with sandwich standard error"
"person-external-weights","dichotomous; weights=moderate; units=equal; theta=-1.0","person location",5000,5000,0,0,NA,NA,NA,NA,NA,NA,NA,-1,-0.00455240109758303,0.490147459804536,0.497565814343082,0.985090706948304,0.9676,0.0025040063897682,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"tools/simval/studies/person-external-weights.R","edf5d7321bb846089cabe0a7deb018ea","git:86ddf2c+dirty","c58e6a4c9490","2026-09-06","fixed generating calibration; externally weighted Warm score with sandwich standard error"
"person-external-weights","dichotomous; weights=moderate; units=equal; theta=+0.0","person location",5000,5000,0,0,NA,NA,NA,NA,NA,NA,NA,0,-0.00994942132257757,0.495175780182484,0.497553779818828,0.995220617885346,0.9562,0.00289418589589542,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"tools/simval/studies/person-external-weights.R","edf5d7321bb846089cabe0a7deb018ea","git:86ddf2c+dirty","c58e6a4c9490","2026-09-06","fixed generating calibration; externally weighted Warm score with sandwich standard error"
"person-external-weights","dichotomous; weights=moderate; units=equal; theta=+1.0","person location",5000,5000,0,0,NA,NA,NA,NA,NA,NA,NA,1,0.0056002756433013,0.552806570370476,0.554695950546441,0.996593845377628,0.9648,0.00260618341641566,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"tools/simval/studies/person-external-weights.R","edf5d7321bb846089cabe0a7deb018ea","git:86ddf2c+dirty","c58e6a4c9490","2026-09-06","fixed generating calibration; externally weighted Warm score with sandwich standard error"
"person-external-weights","dichotomous; weights=strong; units=equal; theta=-1.0","person location",5000,5000,0,0,NA,NA,NA,NA,NA,NA,NA,-1,0.00366582828989174,0.512488311388015,0.53491127718477,0.958080962669609,0.9708,0.00238106530779817,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"tools/simval/studies/person-external-weights.R","edf5d7321bb846089cabe0a7deb018ea","git:86ddf2c+dirty","c58e6a4c9490","2026-09-06","fixed generating calibration; externally weighted Warm score with sandwich standard error"
"person-external-weights","dichotomous; weights=strong; units=equal; theta=+0.0","person location",5000,5000,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.0142647948411005,0.565237060910409,0.576355185743469,0.980709595214767,0.9714,0.0023572034277932,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"tools/simval/studies/person-external-weights.R","edf5d7321bb846089cabe0a7deb018ea","git:86ddf2c+dirty","c58e6a4c9490","2026-09-06","fixed generating calibration; externally weighted Warm score with sandwich standard error"
"person-external-weights","dichotomous; weights=strong; units=equal; theta=+1.0","person location",5000,5000,0,0,NA,NA,NA,NA,NA,NA,NA,1,-0.0153026791986271,0.675039355189757,0.713332406552699,0.946318082550042,0.9668,0.0025336834845734,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"tools/simval/studies/person-external-weights.R","edf5d7321bb846089cabe0a7deb018ea","git:86ddf2c+dirty","c58e6a4c9490","2026-09-06","fixed generating calibration; externally weighted Warm score with sandwich standard error"
"person-external-weights","dichotomous; weights=zero; units=equal; theta=-1.0","person location",5000,5000,0,0,NA,NA,NA,NA,NA,NA,NA,-1,-0.00252642738283145,0.493396308611493,0.49405357484817,0.998669645823576,0.941,0.00333223648620562,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"tools/simval/studies/person-external-weights.R","edf5d7321bb846089cabe0a7deb018ea","git:86ddf2c+dirty","c58e6a4c9490","2026-09-06","fixed generating calibration; externally weighted Warm score with sandwich standard error"
