"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"scree conditional reference","dichotomous, null","simulated upper-tail dimensionality decision",200,200,0,0,0,NA,NA,NA,NA,NA,-0.00303097401538888,0.0296427632712657,NA,NA,NA,NA,0,0,0.025,0.0110397010829098,NA,NA,0,0,0,0,0,0,"tools/simval/studies/scree-conditional-reference.R","7c42ef04e0a145c398cfa46a977c0819","9869bef+dirty","17a08ef1fa4c","2026-09-03","PC1 observed/null-mean ratio 0.9970; PC1 observed/null-critical ratio 0.9127; PC1 rejection 0.000; family rejection 0.025; 10 components; 10000/10000 conditional draws used in total, with 0 non-converged and 0 other failures; largest attainable level 0.0392"
"scree conditional reference","PCM, null","simulated upper-tail dimensionality decision",200,200,0,0,0,NA,NA,NA,NA,NA,0.000836100992779087,0.0348616300161934,NA,NA,NA,NA,0.02,0.00989949493661166,0.05,0.0154110350074224,NA,NA,0,0,0,0,0,0,"tools/simval/studies/scree-conditional-reference.R","7c42ef04e0a145c398cfa46a977c0819","9869bef+dirty","17a08ef1fa4c","2026-09-03","PC1 observed/null-mean ratio 1.0008; PC1 observed/null-critical ratio 0.9127; PC1 rejection 0.020; family rejection 0.050; 10 components; 10000/10000 conditional draws used in total, with 0 non-converged and 0 other failures; largest attainable level 0.0392"
"scree conditional reference","RSM, null","simulated upper-tail dimensionality decision",200,200,0,0,0,NA,NA,NA,NA,NA,-0.00109960503750228,0.0306820892123716,NA,NA,NA,NA,0.005,0.004987484335815,0.05,0.0154110350074224,NA,NA,0,0,0,0,0,0,"tools/simval/studies/scree-conditional-reference.R","7c42ef04e0a145c398cfa46a977c0819","9869bef+dirty","17a08ef1fa4c","2026-09-03","PC1 observed/null-mean ratio 0.9989; PC1 observed/null-critical ratio 0.9130; PC1 rejection 0.005; family rejection 0.050; 10 components; 10000/10000 conditional draws used in total, with 0 non-converged and 0 other failures; largest attainable level 0.0392"
"scree conditional reference","booklet, null","simulated upper-tail dimensionality decision",200,200,0,0,0,NA,NA,NA,NA,NA,-0.00258628531915828,0.040904753231126,NA,NA,NA,NA,0.005,0.004987484335815,0.02,0.00989949493661166,NA,NA,0,0,0,0,0,0,"tools/simval/studies/scree-conditional-reference.R","7c42ef04e0a145c398cfa46a977c0819","9869bef+dirty","17a08ef1fa4c","2026-09-03","PC1 observed/null-mean ratio 0.9974; PC1 observed/null-critical ratio 0.8923; PC1 rejection 0.005; family rejection 0.020; 10 components; 10000/10000 conditional draws used in total, with 0 non-converged and 0 other failures; largest attainable level 0.0392"
"scree conditional reference","explanatory, null","simulated upper-tail dimensionality decision",200,200,0,0,0,NA,NA,NA,NA,NA,-0.00152689850607757,0.032658414436278,NA,NA,NA,NA,0.02,0.00989949493661166,0.055,0.0161206389451535,NA,NA,0,0,0,0,0,0,"tools/simval/studies/scree-conditional-reference.R","7c42ef04e0a145c398cfa46a977c0819","9869bef+dirty","17a08ef1fa4c","2026-09-03","PC1 observed/null-mean ratio 0.9985; PC1 observed/null-critical ratio 0.9138; PC1 rejection 0.020; family rejection 0.055; 10 components; 10000/10000 conditional draws used in total, with 0 non-converged and 0 other failures; largest attainable level 0.0392"
"scree conditional reference","sparse PCM, null","simulated upper-tail dimensionality decision",178,200,2,0,20,NA,NA,NA,NA,NA,0.01012582023655,0.0959017384792701,NA,NA,NA,NA,0,0,0.0280898876404495,0.0123844878173809,NA,NA,0.01,0.00703562363973514,0,0,0.1,0.0212132034355964,"tools/simval/studies/scree-conditional-reference.R","7c42ef04e0a145c398cfa46a977c0819","9869bef+dirty","17a08ef1fa4c","2026-09-03","PC1 observed/null-mean ratio 1.0101; PC1 observed/null-critical ratio 0.7637; PC1 rejection 0.000; family rejection 0.028; 10 components; 8751/8900 conditional draws used in total, with 0 non-converged and 149 other failures; largest attainable level 0.0392"
"scree conditional reference","dichotomous, second dimension","simulated upper-tail dimensionality decision",200,200,0,0,0,NA,NA,NA,NA,NA,0.262162621991805,0.0688048834512488,NA,NA,NA,NA,NA,NA,NA,NA,0.985,0.00859505671883555,0,0,0,0,0,0,"tools/simval/studies/scree-conditional-reference.R","7c42ef04e0a145c398cfa46a977c0819","9869bef+dirty","17a08ef1fa4c","2026-09-03","PC1 observed/null-mean ratio 1.2622; PC1 observed/null-critical ratio 1.1563; PC1 rejection 0.985; family rejection 0.985; 10 components; 10000/10000 conditional draws used in total, with 0 non-converged and 0 other failures; largest attainable level 0.0392"
"scree conditional reference","PCM, second dimension","simulated upper-tail dimensionality decision",200,200,0,0,0,NA,NA,NA,NA,NA,0.926782166071994,0.0879848841102594,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,"tools/simval/studies/scree-conditional-reference.R","7c42ef04e0a145c398cfa46a977c0819","9869bef+dirty","17a08ef1fa4c","2026-09-03","PC1 observed/null-mean ratio 1.9268; PC1 observed/null-critical ratio 1.7598; PC1 rejection 1.000; family rejection 1.000; 10 components; 10000/10000 conditional draws used in total, with 0 non-converged and 0 other failures; largest attainable level 0.0392"
"scree conditional reference","RSM, second dimension","simulated upper-tail dimensionality decision",200,200,0,0,0,NA,NA,NA,NA,NA,0.94588496004243,0.0797238556010808,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,"tools/simval/studies/scree-conditional-reference.R","7c42ef04e0a145c398cfa46a977c0819","9869bef+dirty","17a08ef1fa4c","2026-09-03","PC1 observed/null-mean ratio 1.9459; PC1 observed/null-critical ratio 1.7780; PC1 rejection 1.000; family rejection 1.000; 10 components; 10000/10000 conditional draws used in total, with 0 non-converged and 0 other failures; largest attainable level 0.0392"
"scree conditional reference","booklet, second dimension","simulated upper-tail dimensionality decision",200,200,0,0,0,NA,NA,NA,NA,NA,0.157136145554331,0.0699500654133696,NA,NA,NA,NA,NA,NA,NA,NA,0.715,0.0319198214280719,0,0,0,0,0,0,"tools/simval/studies/scree-conditional-reference.R","7c42ef04e0a145c398cfa46a977c0819","9869bef+dirty","17a08ef1fa4c","2026-09-03","PC1 observed/null-mean ratio 1.1571; PC1 observed/null-critical ratio 1.0353; PC1 rejection 0.700; family rejection 0.715; 10 components; 10000/10000 conditional draws used in total, with 0 non-converged and 0 other failures; largest attainable level 0.0392"
