"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","executed","notes"
"structural-missingness","pcm_rare_top+30MCAR","fit_refusal",300,300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11",""
"structural-missingness","pcm_rare_top+30MCAR","fit_nonconvergence",300,300,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11",""
"structural-missingness","pcm_rare_top+30MCAR","threshold_k1",3000,NA,NA,NA,NA,-0.035890301082304,0.386118059035432,0.306508458431501,1.25973051775249,0.951092611862643,0.00393765816710639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","pooled over 10 items x replicates; NA se cells (weak-guard fires) excluded from mean_se/coverage but counted in n_reps via finite point estimates; not the rare threshold"
"structural-missingness","pcm_rare_top+30MCAR","weak_guard_k1",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0389999999999988,0.00304865779996228,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","guard-firing rate (SE reported NA), pooled over items x replicates, cluster-robust mc SE"
"structural-missingness","pcm_rare_top+30MCAR","threshold_k2",3000,NA,NA,NA,NA,0.0104091690953283,0.306688972388137,0.15252085135712,2.01080029162728,0.93,0.00465832587954085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","pooled over 10 items x replicates; NA se cells (weak-guard fires) excluded from mean_se/coverage but counted in n_reps via finite point estimates; not the rare threshold"
"structural-missingness","pcm_rare_top+30MCAR","weak_guard_k2",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","guard-firing rate (SE reported NA), pooled over items x replicates, cluster-robust mc SE"
"structural-missingness","pcm_rare_top+30MCAR","threshold_k3",2975,NA,NA,NA,NA,0.0538484528952768,0.373141299504923,0.32233911647786,1.15760477221061,0.956506488951245,0.0037394928674914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","pooled over 10 items x replicates; NA se cells (weak-guard fires) excluded from mean_se/coverage but counted in n_reps via finite point estimates; k=3 is the deliberately rare top-category threshold"
"structural-missingness","pcm_rare_top+30MCAR","weak_guard_k3",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0416806722689059,0.00357051746902071,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","guard-firing rate (SE reported NA), pooled over items x replicates, cluster-robust mc SE"
"structural-missingness","pcm_rare_top+30MCAR","weak_guard_any_threshold",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576666666666667,0.0285261413573715,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","rate at least one threshold anywhere in the 10-item test triggers the weak-category guard (among fitted, converged replicates)"
"structural-missingness","pcm_rare_top+noMiss","fit_refusal",150,150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11",""
"structural-missingness","pcm_rare_top+noMiss","fit_nonconvergence",150,150,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11",""
"structural-missingness","pcm_rare_top+noMiss","threshold_k1",1500,NA,NA,NA,NA,-0.0460913763785358,0.335381478776623,0.256492273985138,1.30756951687386,0.953804347826087,0.00541981634954174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","pooled over 10 items x replicates; NA se cells (weak-guard fires) excluded from mean_se/coverage but counted in n_reps via finite point estimates; not the rare threshold"
"structural-missingness","pcm_rare_top+noMiss","weak_guard_k1",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0186666666666663,0.00332930405243006,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","guard-firing rate (SE reported NA), pooled over items x replicates, cluster-robust mc SE"
"structural-missingness","pcm_rare_top+noMiss","threshold_k2",1500,NA,NA,NA,NA,0.00124446492539748,0.187786457643772,0.123234053295,1.52381953382841,0.947333333333333,0.00576731531355152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","19b745a9db0b88243a666534109287c4","0a10d32","2026-08-11","pooled over 10 items x replicates; NA se cells (weak-guard fires) excluded from mean_se/coverage but counted in n_reps via finite point estimates; not the rare threshold"
