"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","executed","notes"
"structural-missingness","weak_links N=20","booklet_fit_refusal",240,300,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.023094010767585,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","connectivity is structural (3 common items always shared): near-zero refusal is the expected finding, not a bug"
"structural-missingness","weak_links N=20","reference_fit_refusal",297,300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.00574456264653803,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","complete-data reference (every person answers all 17 items)"
"structural-missingness","weak_links N=20","item_common_booklet",720,NA,NA,NA,NA,0.0481605634252244,0.70419176057122,0.4883053584296,1.44211352264475,0.876666666666667,0.0122543768950698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","booklet: 3 item(s), pooled over items x replicates; C1,C2,C3 is answered by BOTH forms (full N)"
"structural-missingness","weak_links N=20","item_common_reference",890,NA,NA,NA,NA,-0.01992816373717,0.602002286371896,0.477393797041424,1.2610182413402,0.911111111111111,0.00953925387048715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","reference: 3 item(s), pooled over items x replicates; C1,C2,C3 is answered by everyone (full N, all items)"
"structural-missingness","weak_links N=20","item_uniqueA_booklet",1339,NA,NA,NA,NA,0.000113483338280742,0.948972590679826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","booklet: 7 item(s), pooled over items x replicates; A1,A2,A3,A4,A5,A6,A7 is answered by one form only (half N)"
"structural-missingness","weak_links N=20","item_uniqueA_reference",1903,NA,NA,NA,NA,0.000277665490590587,0.709657242561142,0.480591481601884,1.47663300272354,0.89763779527559,0.00694865879490513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","reference: 7 item(s), pooled over items x replicates; A1,A2,A3,A4,A5,A6,A7 is answered by everyone (full N, all items)"
"structural-missingness","weak_links N=20","item_uniqueB_booklet",1249,NA,NA,NA,NA,0.0127081186099927,0.972310169941589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","booklet: 7 item(s), pooled over items x replicates; B1,B2,B3,B4,B5,B6,B7 is answered by one form only (half N)"
"structural-missingness","weak_links N=20","item_uniqueB_reference",1840,NA,NA,NA,NA,0.00369981972689559,0.724889712986251,0.476564497083184,1.5210736792668,0.921383647798742,0.00627433615784526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","reference: 7 item(s), pooled over items x replicates; B1,B2,B3,B4,B5,B6,B7 is answered by everyone (full N, all items)"
"structural-missingness","weak_links N=40","booklet_fit_refusal",249,300,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.0216871697861508,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","connectivity is structural (3 common items always shared): near-zero refusal is the expected finding, not a bug"
"structural-missingness","weak_links N=40","reference_fit_refusal",294,300,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.00808290376865476,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","complete-data reference (every person answers all 17 items)"
"structural-missingness","weak_links N=40","item_common_booklet",747,NA,NA,NA,NA,0.0134410797738296,0.430188606963424,0.382343889316189,1.12513530092714,0.917920656634747,0.0100429015976781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","booklet: 3 item(s), pooled over items x replicates; C1,C2,C3 is answered by BOTH forms (full N)"
"structural-missingness","weak_links N=40","item_common_reference",882,NA,NA,NA,NA,-0.003148533707996,0.423895559808221,0.368813488537558,1.14934939470104,0.930011862396204,0.00859057373760397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","reference: 3 item(s), pooled over items x replicates; C1,C2,C3 is answered by everyone (full N, all items)"
"structural-missingness","weak_links N=40","item_uniqueA_booklet",1616,NA,NA,NA,NA,0.0312008897728585,0.755100329754204,0.522190437634353,1.44602481266219,0.901840490797546,0.00740134035708586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","booklet: 7 item(s), pooled over items x replicates; A1,A2,A3,A4,A5,A6,A7 is answered by one form only (half N)"
"structural-missingness","weak_links N=40","item_uniqueA_reference",2024,NA,NA,NA,NA,0.00719599648733604,0.550198994163963,0.37653224475765,1.46122676563355,0.921129503407984,0.00599118016771718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","reference: 7 item(s), pooled over items x replicates; A1,A2,A3,A4,A5,A6,A7 is answered by everyone (full N, all items)"
"structural-missingness","weak_links N=40","item_uniqueB_booklet",1550,NA,NA,NA,NA,0.00918637131355502,0.757669632101272,0.531557202504856,1.4253774166372,0.919463087248322,0.0069119213722056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","booklet: 7 item(s), pooled over items x replicates; B1,B2,B3,B4,B5,B6,B7 is answered by one form only (half N)"
"structural-missingness","weak_links N=40","item_uniqueB_reference",1995,NA,NA,NA,NA,0.0132893783659572,0.56957248488445,0.375135221421248,1.5183124707047,0.91894852135816,0.00611018855981523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","reference: 7 item(s), pooled over items x replicates; B1,B2,B3,B4,B5,B6,B7 is answered by everyone (full N, all items)"
"structural-missingness","weak_links N=100","booklet_fit_refusal",287,300,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0433333333333333,0.0117552194868996,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","connectivity is structural (3 common items always shared): near-zero refusal is the expected finding, not a bug"
"structural-missingness","weak_links N=100","reference_fit_refusal",300,300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","complete-data reference (every person answers all 17 items)"
"structural-missingness","weak_links N=100","item_common_booklet",861,NA,NA,NA,NA,-0.015162288163514,0.264740541111958,0.251532726649426,1.05250932806425,0.938443670150987,0.00819103700574122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","booklet: 3 item(s), pooled over items x replicates; C1,C2,C3 is answered by BOTH forms (full N)"
"structural-missingness","weak_links N=100","item_common_reference",900,NA,NA,NA,NA,0.00808513957918786,0.24236673316037,0.236534496380648,1.02465702410838,0.945555555555556,0.0075630862978299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","reference: 3 item(s), pooled over items x replicates; C1,C2,C3 is answered by everyone (full N, all items)"
"structural-missingness","weak_links N=100","item_uniqueA_booklet",1996,NA,NA,NA,NA,-0.0170506995592263,0.536215796709074,0.379711324558333,1.41216698588798,0.925801011804384,0.00586647938152423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","booklet: 7 item(s), pooled over items x replicates; A1,A2,A3,A4,A5,A6,A7 is answered by one form only (half N)"
"structural-missingness","weak_links N=100","item_uniqueA_reference",2100,NA,NA,NA,NA,0.0029555249643445,0.349232499664302,0.27913755735116,1.25111254457587,0.95444059976932,0.00455044431537034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","reference: 7 item(s), pooled over items x replicates; A1,A2,A3,A4,A5,A6,A7 is answered by everyone (full N, all items)"
"structural-missingness","weak_links N=100","item_uniqueB_booklet",1977,NA,NA,NA,NA,0.00980674073292946,0.557232590704964,0.379654702335564,1.46773525331564,0.94062205466541,0.00531516592806938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","booklet: 7 item(s), pooled over items x replicates; B1,B2,B3,B4,B5,B6,B7 is answered by one form only (half N)"
"structural-missingness","weak_links N=100","item_uniqueB_reference",2098,NA,NA,NA,NA,-0.00328085226234135,0.389135854234864,0.278185472435754,1.39883600256923,0.947136563876652,0.00488518768767814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","reference: 7 item(s), pooled over items x replicates; B1,B2,B3,B4,B5,B6,B7 is answered by everyone (full N, all items)"
"structural-missingness","weak_links N=600","booklet_fit_refusal",300,300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","connectivity is structural (3 common items always shared): near-zero refusal is the expected finding, not a bug"
"structural-missingness","weak_links N=600","reference_fit_refusal",300,300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","complete-data reference (every person answers all 17 items)"
"structural-missingness","weak_links N=600","item_common_booklet",900,NA,NA,NA,NA,0.00234315944615977,0.104203159611077,0.103349588777558,1.00825906366551,0.948888888888889,0.00734081174985276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","booklet: 3 item(s), pooled over items x replicates; C1,C2,C3 is answered by BOTH forms (full N)"
"structural-missingness","weak_links N=600","item_common_reference",900,NA,NA,NA,NA,0.000625717682424203,0.097908760812516,0.0968157406848035,1.01128969442346,0.941111111111111,0.00784722085654965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","reference: 3 item(s), pooled over items x replicates; C1,C2,C3 is answered by everyone (full N, all items)"
"structural-missingness","weak_links N=600","item_uniqueA_booklet",2100,NA,NA,NA,NA,0.00445801386843458,0.206007057214286,0.192519762544845,1.07005667621421,0.947619047619048,0.0048617647299944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/structural-missingness.R","5ee1ba6fbf54df5301842fdc63ab3a1c","557313f+dirty","2026-08-11","booklet: 7 item(s), pooled over items x replicates; A1,A2,A3,A4,A5,A6,A7 is answered by one form only (half N)"
