"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"tailored-bootstrap","FWER null: N=300 I=8 chance=.25 boot_reps=399 no guessing","familywise (any item significant per replicate, Holm-adjusted alpha=.05)",54,55,1,0,0,21945,21802,0,143,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.0181818181818182,0.0180157707020677,0,0,0,0,"tools/simval/studies/tailored-bootstrap.R","55f5ce4436029ac4cbfb6f853336b04f","9869bef+dirty","3ae2582c9cf7","2026-09-03","PRINCIPAL claim; 55 predeclared replicates at N=300, I=8 and boot_reps=399; see the script header for the boot_reps=999 benchmark."
"tailored-bootstrap","FWER null: N=300 I=8 chance=.25 boot_reps=399 no guessing","type1_item (per item, Holm-adjusted, pooled)",54,55,1,0,0,21945,21802,0,143,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.0181818181818182,0.0180157707020677,0,0,0,0,"tools/simval/studies/tailored-bootstrap.R","55f5ce4436029ac4cbfb6f853336b04f","9869bef+dirty","3ae2582c9cf7","2026-09-03","pooled over 8 items/replicate; MC SE is cluster-robust (sd of per-replicate proportions / sqrt(n_reps)), not the plug-in binomial SE, since items within a replicate share one fit."
"tailored-bootstrap","FWER null: N=300 I=8 chance=.25 boot_reps=399 no guessing","bootstrap inner-draw degeneracy (fraction of B inner resamples that failed)",55,55,1,0,0,21945,21802,0,143,NA,0.00651629072681704,0.0207379917124615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0181818181818182,0.0180157707020677,0,0,0,0,"tools/simval/studies/tailored-bootstrap.R","55f5ce4436029ac4cbfb6f853336b04f","9869bef+dirty","3ae2582c9cf7","2026-09-03","mean fraction lost = 0.0065; 18/55 bootstrap runs lost >=1 inner draw"
"tailored-bootstrap","FWER null: N=300 I=8 chance=.25 boot_reps=399 no guessing","p-floor warning fired during principal loop (should never, floor=0.040<0.05)",54,55,1,0,0,21945,21802,0,143,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.0181818181818182,0.0180157707020677,0,0,0,0,"tools/simval/studies/tailored-bootstrap.R","55f5ce4436029ac4cbfb6f853336b04f","9869bef+dirty","3ae2582c9cf7","2026-09-03","deterministic given boot_reps=399, m=8: floor 2*8/400=0.040<0.05, so the floor warning is not expected to fire in ANY replicate."
"tailored-bootstrap","floor-warning behavioural check: same draw, boot_reps=50","p-floor warning fires when boot_reps too small for m=8 (floor 2*8/51=0.314>0.05)",1,1,0,0,0,50,50,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/tailored-bootstrap.R","55f5ce4436029ac4cbfb6f853336b04f","9869bef+dirty","3ae2582c9cf7","2026-09-03","deterministic behavioural check (n=1 by construction, not a rate): fired=TRUE (expect TRUE)"
"tailored-bootstrap","I=8 power: guess=0.15 chance=0.20 target=on","detection rate (planted items, Holm-adjusted, pooled over the 2 guessed items)",4,4,0,0,0,1596,1596,0,0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"tools/simval/studies/tailored-bootstrap.R","55f5ce4436029ac4cbfb6f853336b04f","9869bef+dirty","3ae2582c9cf7","2026-09-03","I=8 guess=0.15 chance=0.20 theta_mean=0 boot_reps=399"
"tailored-bootstrap","I=8 power: guess=0.15 chance=0.20 target=on","false-flag rate (clean items, Holm-adjusted, pooled)",4,4,0,0,0,1596,1596,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/tailored-bootstrap.R","55f5ce4436029ac4cbfb6f853336b04f","9869bef+dirty","3ae2582c9cf7","2026-09-03","I=8 guess=0.15 chance=0.20 theta_mean=0 boot_reps=399"
"tailored-bootstrap","I=8 power: guess=0.15 chance=0.20 target=+1logit","detection rate (planted items, Holm-adjusted, pooled over the 2 guessed items)",4,4,0,0,0,1596,1596,0,0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.144337567297406,0,0,0,0,0,0,"tools/simval/studies/tailored-bootstrap.R","55f5ce4436029ac4cbfb6f853336b04f","9869bef+dirty","3ae2582c9cf7","2026-09-03","I=8 guess=0.15 chance=0.20 theta_mean=1 boot_reps=399"
"tailored-bootstrap","I=8 power: guess=0.15 chance=0.20 target=+1logit","false-flag rate (clean items, Holm-adjusted, pooled)",4,4,0,0,0,1596,1596,0,0,0,NA,NA,NA,NA,NA,NA,0.0833333333333333,0.0481125224324688,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/tailored-bootstrap.R","55f5ce4436029ac4cbfb6f853336b04f","9869bef+dirty","3ae2582c9cf7","2026-09-03","I=8 guess=0.15 chance=0.20 theta_mean=1 boot_reps=399"
"tailored-bootstrap","I=8 power: guess=0.15 chance=0.25 target=on","detection rate (planted items, Holm-adjusted, pooled over the 2 guessed items)",4,4,0,0,0,1596,1596,0,0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.25,0,0,0,0,0,0,"tools/simval/studies/tailored-bootstrap.R","55f5ce4436029ac4cbfb6f853336b04f","9869bef+dirty","3ae2582c9cf7","2026-09-03","I=8 guess=0.15 chance=0.25 theta_mean=0 boot_reps=399"
"tailored-bootstrap","I=8 power: guess=0.15 chance=0.25 target=on","false-flag rate (clean items, Holm-adjusted, pooled)",4,4,0,0,0,1596,1596,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/tailored-bootstrap.R","55f5ce4436029ac4cbfb6f853336b04f","9869bef+dirty","3ae2582c9cf7","2026-09-03","I=8 guess=0.15 chance=0.25 theta_mean=0 boot_reps=399"
"tailored-bootstrap","I=8 power: guess=0.15 chance=0.25 target=+1logit","detection rate (planted items, Holm-adjusted, pooled over the 2 guessed items)",4,4,0,0,0,1596,1596,0,0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"tools/simval/studies/tailored-bootstrap.R","55f5ce4436029ac4cbfb6f853336b04f","9869bef+dirty","3ae2582c9cf7","2026-09-03","I=8 guess=0.15 chance=0.25 theta_mean=1 boot_reps=399"
"tailored-bootstrap","I=8 power: guess=0.15 chance=0.25 target=+1logit","false-flag rate (clean items, Holm-adjusted, pooled)",4,4,0,0,0,1596,1596,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/tailored-bootstrap.R","55f5ce4436029ac4cbfb6f853336b04f","9869bef+dirty","3ae2582c9cf7","2026-09-03","I=8 guess=0.15 chance=0.25 theta_mean=1 boot_reps=399"
