"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","executed","notes"
"wle-coverage","diag: item-shift identification","mean estimated item location",1,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","true item locations shifted by +1.0 (mean true loc = 1.0); rasch() recentres to mean estimated loc = 0.000000 (identification convention, R/estimation.R: 'recentre so the mean item location is zero'). A uniform item-location shift is therefore fully absorbed into the arbitrary origin -- confirms the item-shift framing of 'targeting offset' is degenerate for a coverage claim; the person-grid-shift design below avoids this."
"wle-coverage","L=5 offset=+0","calibration fit",1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","one calibration fit, N=2000 persons ~ N(0,1.3), fixed item bank [-2,2]; converged=TRUE"
"wle-coverage","L=5 offset=+0","theta_true=-3.00 [true-calib]",1500,1500,0,NA,NA,0.403248171101905,0.920681379088832,1.57258632127389,0.585456815078378,0.944666666666667,0.00590319436438474,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=-3.00; extreme_rate=0.597 (raw=0: 0.597, raw=5: 0.000); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=-3.00 [est-calib]",1500,1500,0,NA,NA,0.471323657145113,0.896659771948505,1.55265207559968,0.5775020598882,0.944666666666667,0.00590319436438474,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=-3.00; extreme_rate=0.597 (raw=0: 0.597, raw=5: 0.000); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=-2.25 [true-calib]",1500,1500,0,NA,NA,0.182896744638884,1.03213066934007,1.41106708131298,0.731454005985095,0.988,0.00281140534252889,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=-2.25; extreme_rate=0.355 (raw=0: 0.355, raw=5: 0.000); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=-2.25 [est-calib]",1500,1500,0,NA,NA,0.236576044577292,1.00337200323619,1.39241372353259,0.72059904773892,0.988,0.00281140534252889,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=-2.25; extreme_rate=0.355 (raw=0: 0.355, raw=5: 0.000); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=-1.50 [true-calib]",1500,1500,0,NA,NA,0.0447019908386241,1.06503200911414,1.26936747781969,0.839025757098711,0.996,0.00162972390299707,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=-1.50; extreme_rate=0.165 (raw=0: 0.165, raw=5: 0.000); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=-1.50 [est-calib]",1500,1500,0,NA,NA,0.0802994295761552,1.03300453544924,1.25214966231157,0.824984877240815,0.996,0.00162972390299707,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=-1.50; extreme_rate=0.165 (raw=0: 0.165, raw=5: 0.000); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=-0.75 [true-calib]",1500,1500,0,NA,NA,-0.00928743832461011,1.08628342077111,1.17449661077946,0.924892767506746,0.967333333333333,0.00458981158331912,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=-0.75; extreme_rate=0.056 (raw=0: 0.054, raw=5: 0.002); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=-0.75 [est-calib]",1500,1500,0,NA,NA,0.004927033095679,1.05337546027945,1.15901926699436,0.908850689782859,0.967333333333333,0.00458981158331912,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=-0.75; extreme_rate=0.056 (raw=0: 0.054, raw=5: 0.002); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=+0.00 [true-calib]",1500,1500,0,NA,NA,-0.00801896300943012,1.00890307741291,1.13029092092897,0.892604778762363,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=+0.00; extreme_rate=0.013 (raw=0: 0.006, raw=5: 0.007); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=+0.00 [est-calib]",1500,1500,0,NA,NA,-0.0162754450994165,0.98135062721833,1.1169355030276,0.878609932765363,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=+0.00; extreme_rate=0.013 (raw=0: 0.006, raw=5: 0.007); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=+0.75 [true-calib]",1500,1500,0,NA,NA,-0.0684277229403653,1.07366275826967,1.1661733100917,0.920671695174744,0.969333333333333,0.00445168299427098,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=+0.75; extreme_rate=0.048 (raw=0: 0.002, raw=5: 0.046); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=+0.75 [est-calib]",1500,1500,0,NA,NA,-0.0928805930411142,1.05224509426356,1.15511683142951,0.910942569299559,0.969333333333333,0.00445168299427098,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=+0.75; extreme_rate=0.048 (raw=0: 0.002, raw=5: 0.046); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=+1.50 [true-calib]",1500,1500,0,NA,NA,-0.049634213317217,1.11147100601876,1.27591342493399,0.871117886447717,0.992666666666667,0.00220296097038441,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=+1.50; extreme_rate=0.175 (raw=0: 0.000, raw=5: 0.175); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=+1.50 [est-calib]",1500,1500,0,NA,NA,-0.0867680799029864,1.09784084425402,1.26744236827122,0.866186007140875,0.992666666666667,0.00220296097038441,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=+1.50; extreme_rate=0.175 (raw=0: 0.000, raw=5: 0.175); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=+2.25 [true-calib]",1500,1500,0,NA,NA,-0.136184299711427,1.05163374644175,1.42847620388213,0.736192695113688,0.986,0.00303358973275337,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=+2.25; extreme_rate=0.383 (raw=0: 0.000, raw=5: 0.383); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
"wle-coverage","L=5 offset=+0","theta_true=+2.25 [est-calib]",1500,1500,0,NA,NA,-0.180245636851684,1.04431710762247,1.42202950247572,0.73438497992084,0.986,0.00303358973275337,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/wle-coverage.R","df6d1ab4be29b6d60314e8265e5729ba","e23c692","2026-08-11","nominal_grid=+2.25; extreme_rate=0.383 (raw=0: 0.000, raw=5: 0.383); reps=1500; principal=FALSE; fixed item bank [-2,2]; one calibration per L shared across offsets"
